#name,startNode,endNode,backname,mode,fiberType,length,measuredLossC,fixFiberMargin,measuredDispersionLambdaRefC,measuredDispersionSlopeC,measuredPmd,lossesToNode,lossesFromNode,deltaRamanGain,estimatedLossC,estimatedDispersionLambdaRefC,estimatedDispersionSlopeC,estimatedPmd,sharedRiskLinkGroup,startNodeType,endNodeType,startSiteLatitudeDeg,startSiteLatitudeMin,startSiteLatitudeSec,startSiteLongitudeDeg,startSiteLongitudeMin,startSiteLongitudeSec,endSiteLatitudeDeg,endSiteLatitudeMin,endSiteLatitudeSec,endSiteLongitudeDeg,endSiteLongitudeMin,endSiteLongitudeSec,startNode.version,endNode.version,startNode.systemType,endNode.systemType,subNetNameSource,subNetDescriptionSource,subNetAreaScaleSource,subNetAreaHeightSource,subNetAreaWidthSource,subNetLatitudeSource,subNetLongitudeSource,subNetIconLatitudeSource,subNetIconLongitudeSource,subNetNameTarget,subNetDescriptionTarget,subNetAreaScaleTarget,subNetAreaHeightTarget,subNetAreaWidthTarget,subNetLatitudeTarget,subNetLongitudeTarget,subNetIconLatitudeTarget,subNetIconLongitudeTarget,dhcpPoolDomainName
#Version 5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F0001,Abilene,S0001-1,F0002,Auto,SSMF,80.0,16.8,0,1680,0.058,0.5,0.25,0.25,0,16.8,1680,0.058,0.5,,ONN-X96,OLR,32,27,0,-99,-44,-24,32,31,7,-98,-60,-33,5.1,5.1,hiT 7300+,hiT 7300+,,,,-1,-1,-1,,,,,,,-1,-1,-1,,,,
F0002,S0001-1,Abilene,F0001,Auto,SSMF,80.0,16.8,0,1680,0.058,0.5,0.25,0.25,0,16.8,1680,0.058,0.5,,OLR,ONN-X96,32,31,7,-98,-60,-33,32,27,0,-99,-44,-24,5.1,5.1,hiT 7300+,hiT 7300+,,,,-1,-1,-1,,,,,,,-1,-1,-1,,,,
F0029,S0013-1,Abilene,F0030,Auto,SSMF,41.21,8.6541,0,1680,0.058,0.5,0.25,0.25,0,8.6541,1680,0.058,0.5,,OLR,ONN-X96,32,26,7,-100,-22,-5,32,27,0,-99,-44,-24,5.1,5.1,hiT 7300+,hiT 7300+,,,,-1,-1,-1,,,,,,,-1,-1,-1,,,,
F0030,Abilene,S0013-1,F0029,Auto,SSMF,41.21,8.6541,0,1680,0.058,0.5,0.25,0.25,0,8.6541,1680,0.058,0.5,,ONN-X96,OLR,32,27,0,-99,-44,-24,32,26,7,-100,-22,-5,5.1,5.1,hiT 7300+,hiT 7300+,,,,-1,-1,-1,,,,,,,-1,-1,-1,,,,
F0031,Albany,S0014-1,F0032,Auto,SSMF,80.0,16.8,0,1680,0.058,0.5,0.25,0.25,0,16.8,1680,0.058,0.5,,ONN-X96,OLR,42,40,12,-73,-48,0,42,36,56,-73,-2,-23,5.1,5.1,hiT 7300+,hiT 7300+,,,,-1,-1,-1,,,,,,,-1,-1,-1,,,,
F0032,S0014-1,Albany,F0031,Auto,SSMF,80.0,16.8,0,1680,0.058,0.5,0.25,0.25,0,16.8,1680,0.058,0.5,,OLR,ONN-X96,42,36,56,-73,-2,-23,42,40,12,-73,-48,0,5.1,5.1,hiT 7300+,hiT 7300+,,,,-1,-1,-1,,,,,,,-1,-1,-1,,,,
F0039,Albany,S0017-1,F0040,Auto,SSMF,80.0,16.8,0,1680,0.058,0.5,0.25,0.25,0,16.8,1680,0.058,0.5,,ONN-X96,OLR,42,40,12,-73,-48,0,42,47,6,-74,-31,-21,5.1,5.1,hiT 7300+,hiT 7300+,,,,-1,-1,-1,,,,,,,-1,-1,-1,,,,
F0040,S0017-1,Albany,F0039,Auto,SSMF,80.0,16.8,0,1680,0.058,0.5,0.25,0.25,0,16.8,1680,0.058,0.5,,OLR,ONN-X96,42,47,6,-74,-31,-21,42,40,12,-73,-48,0,5.1,5.1,hiT 7300+,hiT 7300+,,,,-1,-1,-1,,,,,,,-1,-1,-1,,,,
F0045,Albuquerque,S0019-1,F0046,Auto,SSMF,80.0,16.8,0,1680,0.058,0.5,0.25,0.25,0,16.8,1680,0.058,0.5,,ONN-X96,OLR,35,7,12,-106,-37,-12,35,3,4,-105,-54,-40,5.1,5.1,hiT 7300+,hiT 7300+,,,,-1,-1,-1,,,,,,,-1,-1,-1,,,,
F0046,S0019-1,Albuquerque,F0045,Auto,SSMF,80.0,16.8,0,1680,0.058,0.5,0.25,0.25,0,16.8,1680,0.058,0.5,,OLR,ONN-X96,35,3,4,-105,-54,-40,35,7,12,-106,-37,-12,5.1,5.1,hiT 7300+,hiT 7300+,,,,-1,-1,-1,,,,,,,-1,-1,-1,,,,
