#name,site,nodeType,description,systemType,code,version,subNetNameSource,subNetDescriptionSource,subNetAreaScaleSource,subNetAreaHeightSource,subNetAreaWidthSource,subNetLatitudeSource,subNetLongitudeSource,subNetIconLatitudeSource,subNetIconLongitudeSource
#Version 4.1
Abilene,Abilene,ONN-X96,,hiT 7300+,Abilene,5.10,,,-1,-1,-1,,,,
Albany,Albany,ONN-X96,,hiT 7300+,Albany,5.10,,,-1,-1,-1,,,,
Albuquerque,Albuquerque,ONN-X96,,hiT 7300+,Albuquerque,5.10,,,-1,-1,-1,,,,
Atlanta,Atlanta,ONN-X96,,hiT 7300+,Atlanta,5.10,,,-1,-1,-1,,,,
Austin,Austin,ONN-X96,,hiT 7300+,Austin,5.10,,,-1,-1,-1,,,,
Baltimore,Baltimore,ONN-X96,,hiT 7300+,Baltimore,5.10,,,-1,-1,-1,,,,
BatonRouge,BatonRouge,ONN-X96,,hiT 7300+,BatonRouge,5.10,,,-1,-1,-1,,,,
Billings,Billings,ONN-X96,,hiT 7300+,Billings,5.10,,,-1,-1,-1,,,,
Birmingham,Birmingham,ONN-X96,,hiT 7300+,Birmingham,5.10,,,-1,-1,-1,,,,
Bismarck,Bismarck,ONN-X96,,hiT 7300+,Bismarck,5.10,,,-1,-1,-1,,,,
Boston,Boston,ONN-X96,,hiT 7300+,Boston,5.10,,,-1,-1,-1,,,,
Buffalo,Buffalo,ONN-X96,,hiT 7300+,Buffalo,5.10,,,-1,-1,-1,,,,
Charleston,Charleston,ONN-X96,,hiT 7300+,Charleston,5.10,,,-1,-1,-1,,,,
Charlotte,Charlotte,ONN-X96,,hiT 7300+,Charlotte,5.10,,,-1,-1,-1,,,,
Chicago,Chicago,ONN-X96,,hiT 7300+,Chicago,5.10,,,-1,-1,-1,,,,
Cincinnati,Cincinnati,ONN-X96,,hiT 7300+,Cincinnati,5.10,,,-1,-1,-1,,,,
Cleveland,Cleveland,ONN-X96,,hiT 7300+,Cleveland,5.10,,,-1,-1,-1,,,,
Columbus,Columbus,ONN-X96,,hiT 7300+,Columbus,5.10,,,-1,-1,-1,,,,
Dallas,Dallas,ONN-X96,,hiT 7300+,Dallas,5.10,,,-1,-1,-1,,,,
Denver,Denver,ONN-X96,,hiT 7300+,Denver,5.10,,,-1,-1,-1,,,,
Detroit,Detroit,ONN-X96,,hiT 7300+,Detroit,5.10,,,-1,-1,-1,,,,
ElPaso,ElPaso,ONN-X96,,hiT 7300+,ElPaso,5.10,,,-1,-1,-1,,,,
Fresno,Fresno,ONN-X96,,hiT 7300+,Fresno,5.10,,,-1,-1,-1,,,,
Greensboro,Greensboro,ONN-X96,,hiT 7300+,Greensboro,5.10,,,-1,-1,-1,,,,
Hartford,Hartford,ONN-X96,,hiT 7300+,Hartford,5.10,,,-1,-1,-1,,,,
Houston,Houston,ONN-X96,,hiT 7300+,Houston,5.10,,,-1,-1,-1,,,,
Jacksonville,Jacksonville,ONN-X96,,hiT 7300+,Jacksonville,5.10,,,-1,-1,-1,,,,
KansasCity,KansasCity,ONN-X96,,hiT 7300+,KansasCity,5.10,,,-1,-1,-1,,,,
LasVegas,LasVegas,ONN-X96,,hiT 7300+,LasVegas,5.10,,,-1,-1,-1,,,,
LittleRock,LittleRock,ONN-X96,,hiT 7300+,LittleRock,5.10,,,-1,-1,-1,,,,
LongBeach,LongBeach,ONN-X96,,hiT 7300+,LongBeach,5.10,,,-1,-1,-1,,,,
LosAngeles,LosAngeles,ONN-X96,,hiT 7300+,LosAngeles,5.10,,,-1,-1,-1,,,,
Louisville,Louisville,ONN-X96,,hiT 7300+,Louisville,5.10,,,-1,-1,-1,,,,
Memphis,Memphis,ONN-X96,,hiT 7300+,Memphis,5.10,,,-1,-1,-1,,,,
Miami,Miami,ONN-X96,,hiT 7300+,Miami,5.10,,,-1,-1,-1,,,,
Milwaukee,Milwaukee,ONN-X96,,hiT 7300+,Milwaukee,5.10,,,-1,-1,-1,,,,
Minneapolis,Minneapolis,ONN-X96,,hiT 7300+,Minneapolis,5.10,,,-1,-1,-1,,,,
Nashville,Nashville,ONN-X96,,hiT 7300+,Nashville,5.10,,,-1,-1,-1,,,,
NewOrleans,NewOrleans,ONN-X96,,hiT 7300+,NewOrleans,5.10,,,-1,-1,-1,,,,
NewYork,NewYork,ONN-X96,,hiT 7300+,NewYork,5.10,,,-1,-1,-1,,,,
Newark,Newark,ONN-X96,,hiT 7300+,Newark,5.10,,,-1,-1,-1,,,,
Norfolk,Norfolk,ONN-X96,,hiT 7300+,Norfolk,5.10,,,-1,-1,-1,,,,
Oakland,Oakland,ONN-X96,,hiT 7300+,Oakland,5.10,,,-1,-1,-1,,,,
OklahomaCity,OklahomaCity,ONN-X96,,hiT 7300+,OklahomaCity,5.10,,,-1,-1,-1,,,,
Omaha,Omaha,ONN-X96,,hiT 7300+,Omaha,5.10,,,-1,-1,-1,,,,
Orlando,Orlando,ONN-X96,,hiT 7300+,Orlando,5.10,,,-1,-1,-1,,,,
Philadelphia,Philadelphia,ONN-X96,,hiT 7300+,Philadelphia,5.10,,,-1,-1,-1,,,,
Phoenix,Phoenix,ONN-X96,,hiT 7300+,Phoenix,5.10,,,-1,-1,-1,,,,
Pittsburgh,Pittsburgh,ONN-X96,,hiT 7300+,Pittsburgh,5.10,,,-1,-1,-1,,,,
Portland,Portland,ONN-X96,,hiT 7300+,Portland,5.10,,,-1,-1,-1,,,,
Providence,Providence,ONN-X96,,hiT 7300+,Providence,5.10,,,-1,-1,-1,,,,
Raleigh,Raleigh,ONN-X96,,hiT 7300+,Raleigh,5.10,,,-1,-1,-1,,,,
Richmond,Richmond,ONN-X96,,hiT 7300+,Richmond,5.10,,,-1,-1,-1,,,,
Rochester,Rochester,ONN-X96,,hiT 7300+,Rochester,5.10,,,-1,-1,-1,,,,
Sacramento,Sacramento,ONN-X96,,hiT 7300+,Sacramento,5.10,,,-1,-1,-1,,,,
SaltLakeCity,SaltLakeCity,ONN-X96,,hiT 7300+,SaltLakeCity,5.10,,,-1,-1,-1,,,,
SanAntonio,SanAntonio,ONN-X96,,hiT 7300+,SanAntonio,5.10,,,-1,-1,-1,,,,
SanDiego,SanDiego,ONN-X96,,hiT 7300+,SanDiego,5.10,,,-1,-1,-1,,,,
SanFrancisco,SanFrancisco,ONN-X96,,hiT 7300+,SanFrancisco,5.10,,,-1,-1,-1,,,,
SanJose,SanJose,ONN-X96,,hiT 7300+,SanJose,5.10,,,-1,-1,-1,,,,
SantaBarbara,SantaBarbara,ONN-X96,,hiT 7300+,SantaBarbara,5.10,,,-1,-1,-1,,,,
Scranton,Scranton,ONN-X96,,hiT 7300+,Scranton,5.10,,,-1,-1,-1,,,,
Seattle,Seattle,ONN-X96,,hiT 7300+,Seattle,5.10,,,-1,-1,-1,,,,
Spokane,Spokane,ONN-X96,,hiT 7300+,Spokane,5.10,,,-1,-1,-1,,,,
Springfield,Springfield,ONN-X96,,hiT 7300+,Springfield,5.10,,,-1,-1,-1,,,,
StLouis,StLouis,ONN-X96,,hiT 7300+,StLouis,5.10,,,-1,-1,-1,,,,
Syracuse,Syracuse,ONN-X96,,hiT 7300+,Syracuse,5.10,,,-1,-1,-1,,,,
Tallahassee,Tallahassee,ONN-X96,,hiT 7300+,Tallahassee,5.10,,,-1,-1,-1,,,,
Tampa,Tampa,ONN-X96,,hiT 7300+,Tampa,5.10,,,-1,-1,-1,,,,
Toledo,Toledo,ONN-X96,,hiT 7300+,Toledo,5.10,,,-1,-1,-1,,,,
Tucson,Tucson,ONN-X96,,hiT 7300+,Tucson,5.10,,,-1,-1,-1,,,,
Tulsa,Tulsa,ONN-X96,,hiT 7300+,Tulsa,5.10,,,-1,-1,-1,,,,
WashingtonDC,WashingtonDC,ONN-X96,,hiT 7300+,WashingtonDC,5.10,,,-1,-1,-1,,,,
WestPalmBeach,WestPalmBeach,ONN-X96,,hiT 7300+,WestPalmBeach,5.10,,,-1,-1,-1,,,,
Wilmington,Wilmington,ONN-X96,,hiT 7300+,Wilmington,5.10,,,-1,-1,-1,,,,
S0001-1,S0001,OLR,,hiT 7300+,S0001-1,5.10,,,-1,-1,-1,,,,
S0002-1,S0002,OLR,,hiT 7300+,S0002-1,5.10,,,-1,-1,-1,,,,
S0003-1,S0003,OLR,,hiT 7300+,S0003-1,5.10,,,-1,-1,-1,,,,
S0004-1,S0004,OLR,,hiT 7300+,S0004-1,5.10,,,-1,-1,-1,,,,
S0005-1,S0005,OLR,,hiT 7300+,S0005-1,5.10,,,-1,-1,-1,,,,
S0006-1,S0006,OLR,,hiT 7300+,S0006-1,5.10,,,-1,-1,-1,,,,
S0007-1,S0007,OLR,,hiT 7300+,S0007-1,5.10,,,-1,-1,-1,,,,
S0008-1,S0008,OLR,,hiT 7300+,S0008-1,5.10,,,-1,-1,-1,,,,
S0009-1,S0009,OLR,,hiT 7300+,S0009-1,5.10,,,-1,-1,-1,,,,
S0010-1,S0010,OLR,,hiT 7300+,S0010-1,5.10,,,-1,-1,-1,,,,
S0011-1,S0011,OLR,,hiT 7300+,S0011-1,5.10,,,-1,-1,-1,,,,
S0012-1,S0012,OLR,,hiT 7300+,S0012-1,5.10,,,-1,-1,-1,,,,
S0013-1,S0013,OLR,,hiT 7300+,S0013-1,5.10,,,-1,-1,-1,,,,
S0014-1,S0014,OLR,,hiT 7300+,S0014-1,5.10,,,-1,-1,-1,,,,
S0015-1,S0015,OLR,,hiT 7300+,S0015-1,5.10,,,-1,-1,-1,,,,
S0016-1,S0016,OLR,,hiT 7300+,S0016-1,5.10,,,-1,-1,-1,,,,
S0017-1,S0017,OLR,,hiT 7300+,S0017-1,5.10,,,-1,-1,-1,,,,
S0018-1,S0018,OLR,,hiT 7300+,S0018-1,5.10,,,-1,-1,-1,,,,
S0019-1,S0019,OLR,,hiT 7300+,S0019-1,5.10,,,-1,-1,-1,,,,
S0020-1,S0020,OLR,,hiT 7300+,S0020-1,5.10,,,-1,-1,-1,,,,
S0021-1,S0021,OLR,,hiT 7300+,S0021-1,5.10,,,-1,-1,-1,,,,
S0022-1,S0022,OLR,,hiT 7300+,S0022-1,5.10,,,-1,-1,-1,,,,
S0023-1,S0023,OLR,,hiT 7300+,S0023-1,5.10,,,-1,-1,-1,,,,
S0024-1,S0024,OLR,,hiT 7300+,S0024-1,5.10,,,-1,-1,-1,,,,
S0025-1,S0025,OLR,,hiT 7300+,S0025-1,5.10,,,-1,-1,-1,,,,
S0026-1,S0026,OLR,,hiT 7300+,S0026-1,5.10,,,-1,-1,-1,,,,
S0027-1,S0027,OLR,,hiT 7300+,S0027-1,5.10,,,-1,-1,-1,,,,
S0028-1,S0028,OLR,,hiT 7300+,S0028-1,5.10,,,-1,-1,-1,,,,
S0029-1,S0029,OLR,,hiT 7300+,S0029-1,5.10,,,-1,-1,-1,,,,
S0030-1,S0030,OLR,,hiT 7300+,S0030-1,5.10,,,-1,-1,-1,,,,
S0031-1,S0031,OLR,,hiT 7300+,S0031-1,5.10,,,-1,-1,-1,,,,
S0032-1,S0032,OLR,,hiT 7300+,S0032-1,5.10,,,-1,-1,-1,,,,
S0033-1,S0033,OLR,,hiT 7300+,S0033-1,5.10,,,-1,-1,-1,,,,
S0034-1,S0034,OLR,,hiT 7300+,S0034-1,5.10,,,-1,-1,-1,,,,
S0035-1,S0035,OLR,,hiT 7300+,S0035-1,5.10,,,-1,-1,-1,,,,
S0036-1,S0036,OLR,,hiT 7300+,S0036-1,5.10,,,-1,-1,-1,,,,
S0037-1,S0037,OLR,,hiT 7300+,S0037-1,5.10,,,-1,-1,-1,,,,
S0038-1,S0038,OLR,,hiT 7300+,S0038-1,5.10,,,-1,-1,-1,,,,
S0039-1,S0039,OLR,,hiT 7300+,S0039-1,5.10,,,-1,-1,-1,,,,
