#name,startNode,endNode,startDirection,endDirection,EOLchannelcount,channelplan,fibername,protection,working,protector,parameter1,parameter2,parameter3,parameter4,parameter5,dhcpPoolDomainName
#Version 5.1,,,,,,,,,,,,,,,,
Abilene_Dallas_01,Abilene,Dallas,1,1,96,96 Standard hiT 7300+,F0001,Unprotected,,,,,,,,
Abilene_Dallas_01,Abilene,Dallas,1,1,96,96 Standard hiT 7300+,F0003,Unprotected,,,,,,,,
Abilene_Dallas_01,Abilene,Dallas,1,1,96,96 Standard hiT 7300+,F0005,Unprotected,,,,,,,,
Abilene_Dallas_01,Abilene,Dallas,1,1,96,96 Standard hiT 7300+,F0007,Unprotected,,,,,,,,
Abilene_Dallas_01,Abilene,Dallas,1,1,96,96 Standard hiT 7300+,F0009,Unprotected,,,,,,,,
Dallas_Abilene_01,Dallas,Abilene,1,1,96,96 Standard hiT 7300+,F0010,Unprotected,,,,,,,,
Dallas_Abilene_01,Dallas,Abilene,1,1,96,96 Standard hiT 7300+,F0008,Unprotected,,,,,,,,
Dallas_Abilene_01,Dallas,Abilene,1,1,96,96 Standard hiT 7300+,F0006,Unprotected,,,,,,,,
Dallas_Abilene_01,Dallas,Abilene,1,1,96,96 Standard hiT 7300+,F0004,Unprotected,,,,,,,,
Dallas_Abilene_01,Dallas,Abilene,1,1,96,96 Standard hiT 7300+,F0002,Unprotected,,,,,,,,
ElPaso_Abilene_01,ElPaso,Abilene,1,2,96,96 Standard hiT 7300+,F0011,Unprotected,,,,,,,,
ElPaso_Abilene_01,ElPaso,Abilene,1,2,96,96 Standard hiT 7300+,F0013,Unprotected,,,,,,,,
ElPaso_Abilene_01,ElPaso,Abilene,1,2,96,96 Standard hiT 7300+,F0015,Unprotected,,,,,,,,
ElPaso_Abilene_01,ElPaso,Abilene,1,2,96,96 Standard hiT 7300+,F0017,Unprotected,,,,,,,,
ElPaso_Abilene_01,ElPaso,Abilene,1,2,96,96 Standard hiT 7300+,F0019,Unprotected,,,,,,,,
ElPaso_Abilene_01,ElPaso,Abilene,1,2,96,96 Standard hiT 7300+,F0021,Unprotected,,,,,,,,
ElPaso_Abilene_01,ElPaso,Abilene,1,2,96,96 Standard hiT 7300+,F0023,Unprotected,,,,,,,,
ElPaso_Abilene_01,ElPaso,Abilene,1,2,96,96 Standard hiT 7300+,F0025,Unprotected,,,,,,,,
ElPaso_Abilene_01,ElPaso,Abilene,1,2,96,96 Standard hiT 7300+,F0027,Unprotected,,,,,,,,
ElPaso_Abilene_01,ElPaso,Abilene,1,2,96,96 Standard hiT 7300+,F0029,Unprotected,,,,,,,,
Abilene_ElPaso_01,Abilene,ElPaso,2,1,96,96 Standard hiT 7300+,F0030,Unprotected,,,,,,,,
Abilene_ElPaso_01,Abilene,ElPaso,2,1,96,96 Standard hiT 7300+,F0028,Unprotected,,,,,,,,
Abilene_ElPaso_01,Abilene,ElPaso,2,1,96,96 Standard hiT 7300+,F0026,Unprotected,,,,,,,,
Abilene_ElPaso_01,Abilene,ElPaso,2,1,96,96 Standard hiT 7300+,F0024,Unprotected,,,,,,,,
Abilene_ElPaso_01,Abilene,ElPaso,2,1,96,96 Standard hiT 7300+,F0022,Unprotected,,,,,,,,
Abilene_ElPaso_01,Abilene,ElPaso,2,1,96,96 Standard hiT 7300+,F0020,Unprotected,,,,,,,,
Abilene_ElPaso_01,Abilene,ElPaso,2,1,96,96 Standard hiT 7300+,F0018,Unprotected,,,,,,,,
Abilene_ElPaso_01,Abilene,ElPaso,2,1,96,96 Standard hiT 7300+,F0016,Unprotected,,,,,,,,
Abilene_ElPaso_01,Abilene,ElPaso,2,1,96,96 Standard hiT 7300+,F0014,Unprotected,,,,,,,,
Abilene_ElPaso_01,Abilene,ElPaso,2,1,96,96 Standard hiT 7300+,F0012,Unprotected,,,,,,,,
Albany_Boston_01,Albany,Boston,1,1,96,96 Standard hiT 7300+,F0031,Unprotected,,,,,,,,
Albany_Boston_01,Albany,Boston,1,1,96,96 Standard hiT 7300+,F0033,Unprotected,,,,,,,,
Albany_Boston_01,Albany,Boston,1,1,96,96 Standard hiT 7300+,F0035,Unprotected,,,,,,,,
Albany_Boston_01,Albany,Boston,1,1,96,96 Standard hiT 7300+,F0037,Unprotected,,,,,,,,
Boston_Albany_01,Boston,Albany,1,1,96,96 Standard hiT 7300+,F0038,Unprotected,,,,,,,,
Boston_Albany_01,Boston,Albany,1,1,96,96 Standard hiT 7300+,F0036,Unprotected,,,,,,,,
Boston_Albany_01,Boston,Albany,1,1,96,96 Standard hiT 7300+,F0034,Unprotected,,,,,,,,
Boston_Albany_01,Boston,Albany,1,1,96,96 Standard hiT 7300+,F0032,Unprotected,,,,,,,,
Albany_Syracuse_01,Albany,Syracuse,2,1,96,96 Standard hiT 7300+,F0039,Unprotected,,,,,,,,
Albany_Syracuse_01,Albany,Syracuse,2,1,96,96 Standard hiT 7300+,F0041,Unprotected,,,,,,,,
Albany_Syracuse_01,Albany,Syracuse,2,1,96,96 Standard hiT 7300+,F0043,Unprotected,,,,,,,,
Syracuse_Albany_01,Syracuse,Albany,1,2,96,96 Standard hiT 7300+,F0044,Unprotected,,,,,,,,
Syracuse_Albany_01,Syracuse,Albany,1,2,96,96 Standard hiT 7300+,F0042,Unprotected,,,,,,,,
Syracuse_Albany_01,Syracuse,Albany,1,2,96,96 Standard hiT 7300+,F0040,Unprotected,,,,,,,,
Albuquerque_Dallas_01,Albuquerque,Dallas,1,2,96,96 Standard hiT 7300+,F0045,Unprotected,,,,,,,,
Albuquerque_Dallas_01,Albuquerque,Dallas,1,2,96,96 Standard hiT 7300+,F0047,Unprotected,,,,,,,,
Albuquerque_Dallas_01,Albuquerque,Dallas,1,2,96,96 Standard hiT 7300+,F0049,Unprotected,,,,,,,,
Albuquerque_Dallas_01,Albuquerque,Dallas,1,2,96,96 Standard hiT 7300+,F0051,Unprotected,,,,,,,,
Albuquerque_Dallas_01,Albuquerque,Dallas,1,2,96,96 Standard hiT 7300+,F0053,Unprotected,,,,,,,,
