#name,code,latitudeDeg,latitudeMin,latitudeSec,longitudeDeg,longitudeMin,longitudeSec,description
#Version 4.1
Abilene,Abilene,32,27,0,-99,-44,-24,
Albany,Albany,42,40,12,-73,-48,0,
Albuquerque,Albuquerque,35,7,12,-106,-37,-12,
Atlanta,Atlanta,33,45,36,-84,-25,-12,
Austin,Austin,30,18,36,-97,-45,0,
Baltimore,Baltimore,39,17,60,-76,-36,-36,
BatonRouge,BatonRouge,30,26,60,-91,-7,-48,
Billings,Billings,45,47,24,-108,-32,-24,
Birmingham,Birmingham,33,31,48,-86,-48,0,
Bismarck,Bismarck,46,48,36,-100,-46,-12,
Boston,Boston,42,20,24,-71,-1,-12,
Buffalo,Buffalo,42,53,24,-78,-51,-36,
Charleston,Charleston,32,47,24,-79,-59,-24,
Charlotte,Charlotte,35,12,0,-80,-49,-48,
Chicago,Chicago,41,50,24,-87,-40,-48,
Cincinnati,Cincinnati,39,8,24,-84,-30,-36,
Cleveland,Cleveland,41,28,48,-81,-40,-48,
Columbus,Columbus,39,59,24,-82,-59,-24,
Dallas,Dallas,32,47,24,-96,-46,-12,
Denver,Denver,39,46,12,-104,-52,-12,
Detroit,Detroit,42,22,48,-83,-5,-60,
ElPaso,ElPaso,31,50,59,-106,-26,-23,
Fresno,Fresno,36,46,48,-119,-47,-24,
Greensboro,Greensboro,36,4,48,-79,-49,-48,
Hartford,Hartford,41,46,12,-72,-40,-48,
Houston,Houston,29,46,12,-95,-23,-24,
Jacksonville,Jacksonville,30,19,48,-81,-39,-36,
KansasCity,KansasCity,39,7,12,-94,-43,-48,
LasVegas,LasVegas,36,12,36,-115,-13,-12,
LittleRock,LittleRock,34,43,12,-92,-20,-60,
LongBeach,LongBeach,40,35,24,-73,-40,-12,
LosAngeles,LosAngeles,34,6,36,-118,-24,-36,
Louisville,Louisville,38,13,12,-85,-44,-24,
Memphis,Memphis,35,6,36,-90,0,-36,
Miami,Miami,25,46,48,-80,-12,-36,
Milwaukee,Milwaukee,43,3,36,-87,-58,-12,
Minneapolis,Minneapolis,44,57,36,-93,-16,-12,
Nashville,Nashville,36,10,12,-86,-46,-48,
NewOrleans,NewOrleans,30,4,12,-89,-55,-48,
NewYork,NewYork,40,40,12,-73,-56,-24,
Newark,Newark,40,43,12,-74,-10,-12,
Norfolk,Norfolk,36,55,12,-76,-14,-24,
Oakland,Oakland,37,46,12,-122,-13,-12,
OklahomaCity,OklahomaCity,35,28,12,-97,-30,-36,
Omaha,Omaha,41,15,36,-96,0,-36,
Orlando,Orlando,28,29,60,-81,-22,-12,
Philadelphia,Philadelphia,40,0,36,-75,-7,-48,
Phoenix,Phoenix,33,32,24,-112,-4,-12,
Pittsburgh,Pittsburgh,40,17,60,-80,-7,-48,
Portland,Portland,45,32,24,-122,-39,-36,
Providence,Providence,41,49,12,-71,-25,-12,
Raleigh,Raleigh,35,49,12,-78,-39,-36,
Richmond,Richmond,37,31,48,-77,-28,-12,
Rochester,Rochester,43,10,12,-77,-37,-12,
Sacramento,Sacramento,38,34,12,-121,-28,-12,
SaltLakeCity,SaltLakeCity,40,46,48,-111,-55,-48,
SanAntonio,SanAntonio,29,27,36,-98,-30,-36,
SanDiego,SanDiego,32,48,36,-117,-8,-24,
SanFrancisco,SanFrancisco,37,39,36,-122,-25,-12,
SanJose,SanJose,37,17,60,-121,-50,-60,
SantaBarbara,SantaBarbara,34,25,48,-119,-43,-12,
Scranton,Scranton,41,23,60,-75,-40,-12,
Seattle,Seattle,47,37,12,-122,-20,-60,
Spokane,Spokane,47,40,12,-117,-24,-36,
Springfield,Springfield,39,30,0,-89,-24,0,
StLouis,StLouis,38,38,24,-90,-14,-24,
Syracuse,Syracuse,43,2,24,-76,-8,-24,
Tallahassee,Tallahassee,30,27,36,-84,-16,-48,
Tampa,Tampa,27,57,36,-82,-28,-48,
Toledo,Toledo,41,39,36,-83,-34,-48,
Tucson,Tucson,32,12,0,-110,-53,-24,
Tulsa,Tulsa,36,7,48,-95,-55,-12,
WashingtonDC,WashingtonDC,38,54,36,-77,-1,-12,
WestPalmBeach,WestPalmBeach,26,44,60,-80,-7,-48,
Wilmington,Wilmington,39,44,24,-75,-31,-48,
S0001,S0001,32,31,7,-98,-60,-33,
S0002,S0002,32,34,52,-98,-24,-28,
S0003,S0003,32,38,12,-97,-50,-52,
S0004,S0004,32,43,11,-97,-22,-42,
S0005,S0005,31,55,35,-105,-39,-51,
S0006,S0006,31,57,16,-104,-55,-22,
S0007,S0007,32,2,17,-104,-13,-52,
S0008,S0008,32,7,19,-103,-31,-22,
S0009,S0009,32,11,5,-102,-48,-52,
S0010,S0010,32,16,6,-102,-9,-20,
S0011,S0011,32,19,51,-101,-31,-16,
S0012,S0012,32,24,52,-100,-56,-41,
S0013,S0013,32,26,7,-100,-22,-5,
S0014,S0014,42,36,56,-73,-2,-23,
S0015,S0015,42,30,45,-72,-20,-53,
S0016,S0016,42,23,49,-71,-43,-49,
S0017,S0017,42,47,6,-74,-31,-21,
S0018,S0018,42,57,37,-75,-16,-48,
S0019,S0019,35,3,4,-105,-54,-40,
S0020,S0020,34,55,47,-105,-15,-8,
S0021,S0021,34,48,4,-104,-41,-32,
S0022,S0022,34,40,21,-104,-2,-30,
S0023,S0023,34,32,13,-103,-27,-24,
S0024,S0024,34,22,51,-102,-48,-22,
S0025,S0025,34,15,6,-102,-10,-49,
S0026,S0026,34,6,6,-101,-31,-16,
S0027,S0027,33,59,33,-100,-58,-10,
S0028,S0028,33,53,24,-100,-16,-39,
S0029,S0029,33,47,15,-99,-40,-35,
S0030,S0030,33,40,40,-99,-1,-32,
S0031,S0031,33,26,15,-98,-18,-3,
S0032,S0032,33,13,27,-97,-35,-33,
S0033,S0033,35,42,57,-106,-22,-21,
S0034,S0034,36,11,45,-106,-12,-58,
S0035,S0035,36,45,56,-105,-58,-38,
S0036,S0036,37,17,53,-105,-50,-43,
S0037,S0037,37,48,50,-105,-39,-21,
S0038,S0038,38,19,34,-105,-25,-31,
S0039,S0039,38,50,28,-105,-15,-8,
S0040,S0040,39,18,29,-105,-1,-18,
S0041,S0041,34,32,13,-106,-37,-10,
S0042,S0042,34,4,52,-106,-35,-12,
S0043,S0043,33,32,26,-106,-34,-42,
S0044,S0044,33,2,17,-106,-31,-15,
S0045,S0045,32,29,52,-106,-30,-15,
S0046,S0046,35,13,59,-107,-22,-9,
S0047,S0047,35,24,52,-108,-6,-8,
S0048,S0048,35,32,6,-108,-48,-38,
S0049,S0049,35,37,20,-109,-23,-13,
S0050,S0050,35,43,45,-110,-5,-43,
S0051,S0051,35,50,34,-110,-51,-41,
S0052,S0052,35,56,35,-111,-32,-42,
S0053,S0053,36,1,46,-112,-13,-13,
S0054,S0054,36,4,58,-112,-57,-12,
S0055,S0055,36,8,58,-113,-46,-8,
S0056,S0056,36,11,45,-114,-29,-37,
S0057,S0057,33,43,8,-85,-8,-50,
S0058,S0058,33,39,51,-85,-43,-56,
S0059,S0059,33,36,9,-86,-16,-3,
S0060,S0060,33,56,41,-83,-52,-44,
S0061,S0061,34,10,36,-83,-18,-38,
S0062,S0062,34,26,7,-82,-45,-32,
S0063,S0063,34,41,59,-82,-11,-26,
S0064,S0064,34,56,35,-81,-33,-22,
S0065,S0065,33,13,52,-83,-59,-10,
S0066,S0066,32,47,21,-83,-40,-23,
S0067,S0067,32,18,36,-83,-19,-37,
S0068,S0068,31,50,58,-82,-60,-51,
S0069,S0069,31,23,37,-82,-36,-8,
S0070,S0070,30,55,42,-82,-11,-55,
S0071,S0071,30,13,9,-97,-7,-23,
S0072,S0072,30,3,20,-96,-34,-46,
S0073,S0073,29,54,46,-96,-2,-39,
S0074,S0074,29,53,29,-98,-10,-9,
S0075,S0075,39,42,7,-76,-16,-7,
S0076,S0076,39,58,26,-75,-48,-26,
S0077,S0077,39,31,4,-77,-21,-50,
S0078,S0078,39,44,1,-78,-4,-20,
S0079,S0079,39,56,10,-78,-46,-20,
S0080,S0080,40,6,0,-79,-22,-55,
S0081,S0081,30,22,7,-91,-46,-39,
S0082,S0082,30,19,8,-92,-23,-43,
S0083,S0083,30,16,9,-92,-60,-17,
S0084,S0084,30,11,27,-93,-34,-23,
S0085,S0085,30,4,37,-94,-8,-59,
S0086,S0086,29,56,3,-94,-41,-6,
S0087,S0087,30,10,10,-90,-32,-2,
S0088,S0088,45,52,17,-107,-36,-29,
S0089,S0089,45,57,26,-106,-40,-38,
S0090,S0090,46,5,20,-105,-52,-12,
S0091,S0091,46,12,11,-104,-60,-19,
S0092,S0092,46,16,17,-104,-15,-21,
