#name,startNode,endNode,backname,mode,fiberType,length,measuredLossC,fixFiberMargin,measuredDispersionLambdaRefC,measuredDispersionSlopeC,measuredPmd,lossesToNode,lossesFromNode,deltaRamanGain,estimatedLossC,estimatedDispersionLambdaRefC,estimatedDispersionSlopeC,estimatedPmd,sharedRiskLinkGroup,startNodeType,endNodeType,startSiteLatitudeDeg,startSiteLatitudeMin,startSiteLatitudeSec,startSiteLongitudeDeg,startSiteLongitudeMin,startSiteLongitudeSec,endSiteLatitudeDeg,endSiteLatitudeMin,endSiteLatitudeSec,endSiteLongitudeDeg,endSiteLongitudeMin,endSiteLongitudeSec,startNode.version,endNode.version,startNode.systemType,endNode.systemType,dhcpPoolDomainName,subNetNameSource,subNetDescriptionSource,subNetAreaScaleSource,subNetAreaHeightSource,subNetAreaWidthSource,subNetLatitudeSource,subNetLongitudeSource,subNetIconLatitudeSource,subNetIconLongitudeSource,subNetNameTarget,subNetDescriptionTarget,subNetAreaScaleTarget,subNetAreaHeightTarget,subNetAreaWidthTarget,subNetLatitudeTarget,subNetLongitudeTarget,subNetIconLatitudeTarget,subNetIconLongitudeTarget
#Version 5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F0027,2,3,F0028,Auto,SSMF,86.8,18.228,0,1458.24,0.058,0.465832587,0.25,0.25,0,18.228,1458.24,0.058,0.465832587,,ONN-X96,ONN-X96,51,0,31,6,50,25,51,32,3,7,30,27,5.1,5.1,hiT 7300+,hiT 7300+,,,,-1,-1,-1,,,,,,,-1,-1,-1,,,,
F0028,3,2,F0027,Auto,SSMF,86.8,18.228,0,1458.24,0.058,0.465832587,0.25,0.25,0,18.228,1458.24,0.058,0.465832587,,ONN-X96,ONN-X96,51,32,3,7,30,27,51,0,31,6,50,25,5.1,5.1,hiT 7300+,hiT 7300+,,,,-1,-1,-1,,,,,,,-1,-1,-1,,,,
F0029,2,S0011-100,F0030,Auto,SSMF,89.0,18.69,0,1495.2,0.058,0.471699056,0.25,0.25,0,18.69,1495.2,0.058,0.471699056,,ONN-X96,OLR,51,0,31,6,50,25,51,40,57,8,10,28,5.1,5.1,hiT 7300+,hiT 7300+,,,,-1,-1,-1,,,,,,,-1,-1,-1,,,,
F0030,S0011-100,2,F0029,Auto,SSMF,89.0,18.69,0,1495.2,0.058,0.471699056,0.25,0.25,0,18.69,1495.2,0.058,0.471699056,,OLR,ONN-X96,51,40,57,8,10,28,51,0,31,6,50,25,5.1,5.1,hiT 7300+,hiT 7300+,,,,-1,-1,-1,,,,,,,-1,-1,-1,,,,
F0041,2,7,F0042,Auto,SSMF,47.7,10.017,0,801.36,0.058,0.345325932,0.25,0.25,0,10.017,801.36,0.058,0.345325932,,ONN-X96,ONN-X96,51,0,31,6,50,25,50,44,18,7,14,8,5.1,5.1,hiT 7300+,hiT 7300+,,,,-1,-1,-1,,,,,,,-1,-1,-1,,,,
F0042,7,2,F0041,Auto,SSMF,47.7,10.017,0,801.36,0.058,0.345325932,0.25,0.25,0,10.017,801.36,0.058,0.345325932,,ONN-X96,ONN-X96,50,44,18,7,14,8,51,0,31,6,50,25,5.1,5.1,hiT 7300+,hiT 7300+,,,,-1,-1,-1,,,,,,,-1,-1,-1,,,,
F0043,3,S0016-100,F0044,Auto,SSMF,88.8,18.648,0,1491.84,0.058,0.471168759,0.25,0.25,0,18.648,1491.84,0.058,0.471168759,,ONN-X96,OLR,51,32,3,7,30,27,51,51,39,7,39,20,5.1,5.1,hiT 7300+,hiT 7300+,,,,-1,-1,-1,,,,,,,-1,-1,-1,,,,
F0044,S0016-100,3,F0043,Auto,SSMF,88.8,18.648,0,1491.84,0.058,0.471168759,0.25,0.25,0,18.648,1491.84,0.058,0.471168759,,OLR,ONN-X96,51,51,39,7,39,20,51,32,3,7,30,27,5.1,5.1,hiT 7300+,hiT 7300+,,,,-1,-1,-1,,,,,,,-1,-1,-1,,,,
F0051,3,S0019-100,F0052,Auto,SSMF,40.3,8.463,0,677.04,0.058,0.317411404,0.25,0.25,0,8.463,677.04,0.058,0.317411404,,ONN-X96,OLR,51,32,3,7,30,27,51,6,43,7,26,29,5.1,5.1,hiT 7300+,hiT 7300+,,,,-1,-1,-1,,,,,,,-1,-1,-1,,,,
F0052,S0019-100,3,F0051,Auto,SSMF,40.3,8.463,0,677.04,0.058,0.317411404,0.25,0.25,0,8.463,677.04,0.058,0.317411404,,OLR,ONN-X96,51,6,43,7,26,29,51,32,3,7,30,27,5.1,5.1,hiT 7300+,hiT 7300+,,,,-1,-1,-1,,,,,,,-1,-1,-1,,,,
F0011,6,S0005-100,F0012,Auto,SSMF,92.5,19.425,0,1554.0,0.058,0.480884601,0.25,0.25,0,19.425,1554.0,0.058,0.480884601,,ONN-X96,OLR,53,7,10,8,52,29,52,56,28,9,36,28,5.1,5.1,hiT 7300+,hiT 7300+,,,,-1,-1,-1,,,,,,,-1,-1,-1,,,,
