#name,site,nodeType,description,systemType,code,version,subNetNameSource,subNetDescriptionSource,subNetAreaScaleSource,subNetAreaHeightSource,subNetAreaWidthSource,subNetLatitudeSource,subNetLongitudeSource,subNetIconLatitudeSource,subNetIconLongitudeSource
#Version 5.1
2,2,ONN-X96,,hiT 7300+,2,5.10,,,-1,-1,-1,,,,
3,3,ONN-X96,,hiT 7300+,3,5.10,,,-1,-1,-1,,,,
6,6,ONN-X96,,hiT 7300+,6,5.10,,,-1,-1,-1,,,,
5,5,ONN-X96,,hiT 7300+,5,5.10,,,-1,-1,-1,,,,
4,4,ONN-X96,,hiT 7300+,4,5.10,,,-1,-1,-1,,,,
7,7,ONN-X96,,hiT 7300+,7,5.10,,,-1,-1,-1,,,,
8,8,ONN-X96,,hiT 7300+,8,5.10,,,-1,-1,-1,,,,
1,1,ONN-X96,,hiT 7300+,1,5.10,,,-1,-1,-1,,,,
9,9,ONN-X96,,hiT 7300+,9,5.10,,,-1,-1,-1,,,,
10,10,ONN-X96,,hiT 7300+,10,5.10,,,-1,-1,-1,,,,
11,11,ONN-X96,,hiT 7300+,11,5.10,,,-1,-1,-1,,,,
12,12,ONN-X96,,hiT 7300+,12,5.10,,,-1,-1,-1,,,,
S0001-100,S0001,OLR,,hiT 7300+,S0001-100,5.10,,,-1,-1,-1,,,,
S0002-100,S0002,OLR,,hiT 7300+,S0002-100,5.10,,,-1,-1,-1,,,,
S0003-100,S0003,OLR,,hiT 7300+,S0003-100,5.10,,,-1,-1,-1,,,,
S0004-100,S0004,OLR,,hiT 7300+,S0004-100,5.10,,,-1,-1,-1,,,,
S0005-100,S0005,OLR,,hiT 7300+,S0005-100,5.10,,,-1,-1,-1,,,,
S0006-100,S0006,OLR,,hiT 7300+,S0006-100,5.10,,,-1,-1,-1,,,,
S0007-100,S0007,OLR,,hiT 7300+,S0007-100,5.10,,,-1,-1,-1,,,,
S0008-100,S0008,OLR,,hiT 7300+,S0008-100,5.10,,,-1,-1,-1,,,,
S0009-100,S0009,OLR,,hiT 7300+,S0009-100,5.10,,,-1,-1,-1,,,,
S0010-100,S0010,OLR,,hiT 7300+,S0010-100,5.10,,,-1,-1,-1,,,,
S0011-100,S0011,OLR,,hiT 7300+,S0011-100,5.10,,,-1,-1,-1,,,,
S0012-100,S0012,OLR,,hiT 7300+,S0012-100,5.10,,,-1,-1,-1,,,,
S0013-100,S0013,OLR,,hiT 7300+,S0013-100,5.10,,,-1,-1,-1,,,,
S0014-100,S0014,OLR,,hiT 7300+,S0014-100,5.10,,,-1,-1,-1,,,,
S0015-100,S0015,OLR,,hiT 7300+,S0015-100,5.10,,,-1,-1,-1,,,,
S0016-100,S0016,OLR,,hiT 7300+,S0016-100,5.10,,,-1,-1,-1,,,,
S0017-100,S0017,OLR,,hiT 7300+,S0017-100,5.10,,,-1,-1,-1,,,,
S0018-100,S0018,OLR,,hiT 7300+,S0018-100,5.10,,,-1,-1,-1,,,,
S0019-100,S0019,OLR,,hiT 7300+,S0019-100,5.10,,,-1,-1,-1,,,,
S0020-100,S0020,OLR,,hiT 7300+,S0020-100,5.10,,,-1,-1,-1,,,,
S0021-100,S0021,OLR,,hiT 7300+,S0021-100,5.10,,,-1,-1,-1,,,,
S0022-100,S0022,OLR,,hiT 7300+,S0022-100,5.10,,,-1,-1,-1,,,,
S0023-100,S0023,OLR,,hiT 7300+,S0023-100,5.10,,,-1,-1,-1,,,,
S0024-100,S0024,OLR,,hiT 7300+,S0024-100,5.10,,,-1,-1,-1,,,,
