#name,startNode,endNode,startDirection,endDirection,EOLchannelcount,channelplan,fibername,protection,working,protector,parameter1,parameter2,parameter3,parameter4,parameter5,dhcpPoolDomainName
#Version 5.1,,,,,,,,,,,,,,,,
0001 DWDMU 2 3,2,3,1,1,96,96 Standard hiT 7300+,F0027,Unprotected,,,,,,,,
0002 DWDMU 2 3,3,2,1,1,96,96 Standard hiT 7300+,F0028,Unprotected,,,,,,,,
0001 DWDMU 2 5,2,5,2,2,96,96 Standard hiT 7300+,F0029,Unprotected,,,,,,,,
0001 DWDMU 2 5,2,5,2,2,96,96 Standard hiT 7300+,F0031,Unprotected,,,,,,,,
0001 DWDMU 2 5,2,5,2,2,96,96 Standard hiT 7300+,F0033,Unprotected,,,,,,,,
0001 DWDMU 2 5,2,5,2,2,96,96 Standard hiT 7300+,F0035,Unprotected,,,,,,,,
0001 DWDMU 2 5,2,5,2,2,96,96 Standard hiT 7300+,F0037,Unprotected,,,,,,,,
0001 DWDMU 2 5,2,5,2,2,96,96 Standard hiT 7300+,F0039,Unprotected,,,,,,,,
0002 DWDMU 2 5,5,2,2,2,96,96 Standard hiT 7300+,F0040,Unprotected,,,,,,,,
0002 DWDMU 2 5,5,2,2,2,96,96 Standard hiT 7300+,F0038,Unprotected,,,,,,,,
0002 DWDMU 2 5,5,2,2,2,96,96 Standard hiT 7300+,F0036,Unprotected,,,,,,,,
0002 DWDMU 2 5,5,2,2,2,96,96 Standard hiT 7300+,F0034,Unprotected,,,,,,,,
0002 DWDMU 2 5,5,2,2,2,96,96 Standard hiT 7300+,F0032,Unprotected,,,,,,,,
0002 DWDMU 2 5,5,2,2,2,96,96 Standard hiT 7300+,F0030,Unprotected,,,,,,,,
0001 DWDMU 2 7,2,7,3,1,96,96 Standard hiT 7300+,F0041,Unprotected,,,,,,,,
0002 DWDMU 2 7,7,2,1,3,96,96 Standard hiT 7300+,F0042,Unprotected,,,,,,,,
0001 DWDMU 3 6,3,6,2,2,96,96 Standard hiT 7300+,F0043,Unprotected,,,,,,,,
0001 DWDMU 3 6,3,6,2,2,96,96 Standard hiT 7300+,F0045,Unprotected,,,,,,,,
0001 DWDMU 3 6,3,6,2,2,96,96 Standard hiT 7300+,F0047,Unprotected,,,,,,,,
0001 DWDMU 3 6,3,6,2,2,96,96 Standard hiT 7300+,F0049,Unprotected,,,,,,,,
0002 DWDMU 3 6,6,3,2,2,96,96 Standard hiT 7300+,F0050,Unprotected,,,,,,,,
0002 DWDMU 3 6,6,3,2,2,96,96 Standard hiT 7300+,F0048,Unprotected,,,,,,,,
0002 DWDMU 3 6,6,3,2,2,96,96 Standard hiT 7300+,F0046,Unprotected,,,,,,,,
0002 DWDMU 3 6,6,3,2,2,96,96 Standard hiT 7300+,F0044,Unprotected,,,,,,,,
0001 DWDMU 3 7,3,7,3,2,96,96 Standard hiT 7300+,F0051,Unprotected,,,,,,,,
0001 DWDMU 3 7,3,7,3,2,96,96 Standard hiT 7300+,F0053,Unprotected,,,,,,,,
0002 DWDMU 3 7,7,3,2,3,96,96 Standard hiT 7300+,F0054,Unprotected,,,,,,,,
0002 DWDMU 3 7,7,3,2,3,96,96 Standard hiT 7300+,F0052,Unprotected,,,,,,,,
0002 DWDMU 1 6,6,1,1,2,96,96 Standard hiT 7300+,F0011,Unprotected,,,,,,,,
0002 DWDMU 1 6,6,1,1,2,96,96 Standard hiT 7300+,F0013,Unprotected,,,,,,,,
0002 DWDMU 1 6,6,1,1,2,96,96 Standard hiT 7300+,F0015,Unprotected,,,,,,,,
0002 DWDMU 1 6,6,1,1,2,96,96 Standard hiT 7300+,F0017,Unprotected,,,,,,,,
0002 DWDMU 1 6,6,1,1,2,96,96 Standard hiT 7300+,F0019,Unprotected,,,,,,,,
0001 DWDMU 1 6,1,6,2,1,96,96 Standard hiT 7300+,F0020,Unprotected,,,,,,,,
0001 DWDMU 1 6,1,6,2,1,96,96 Standard hiT 7300+,F0018,Unprotected,,,,,,,,
0001 DWDMU 1 6,1,6,2,1,96,96 Standard hiT 7300+,F0016,Unprotected,,,,,,,,
0001 DWDMU 1 6,1,6,2,1,96,96 Standard hiT 7300+,F0014,Unprotected,,,,,,,,
0001 DWDMU 1 6,1,6,2,1,96,96 Standard hiT 7300+,F0012,Unprotected,,,,,,,,
0001 DWDMU 4 6,4,6,1,3,96,96 Standard hiT 7300+,F0057,Unprotected,,,,,,,,
0001 DWDMU 4 6,4,6,1,3,96,96 Standard hiT 7300+,F0059,Unprotected,,,,,,,,
0001 DWDMU 4 6,4,6,1,3,96,96 Standard hiT 7300+,F0061,Unprotected,,,,,,,,
0001 DWDMU 4 6,4,6,1,3,96,96 Standard hiT 7300+,F0063,Unprotected,,,,,,,,
0001 DWDMU 4 6,4,6,1,3,96,96 Standard hiT 7300+,F0055,Unprotected,,,,,,,,
0002 DWDMU 4 6,6,4,3,1,96,96 Standard hiT 7300+,F0056,Unprotected,,,,,,,,
0002 DWDMU 4 6,6,4,3,1,96,96 Standard hiT 7300+,F0064,Unprotected,,,,,,,,
0002 DWDMU 4 6,6,4,3,1,96,96 Standard hiT 7300+,F0062,Unprotected,,,,,,,,
0002 DWDMU 4 6,6,4,3,1,96,96 Standard hiT 7300+,F0060,Unprotected,,,,,,,,
0002 DWDMU 4 6,6,4,3,1,96,96 Standard hiT 7300+,F0058,Unprotected,,,,,,,,
0002 DWDMU 5 6,6,5,4,3,96,96 Standard hiT 7300+,F0099,Unprotected,,,,,,,,
0002 DWDMU 5 6,6,5,4,3,96,96 Standard hiT 7300+,F0101,Unprotected,,,,,,,,
0002 DWDMU 5 6,6,5,4,3,96,96 Standard hiT 7300+,F0103,Unprotected,,,,,,,,
0001 DWDMU 5 6,5,6,3,4,96,96 Standard hiT 7300+,F0104,Unprotected,,,,,,,,
0001 DWDMU 5 6,5,6,3,4,96,96 Standard hiT 7300+,F0102,Unprotected,,,,,,,,
0001 DWDMU 5 6,5,6,3,4,96,96 Standard hiT 7300+,F0100,Unprotected,,,,,,,,
0001 DWDMU 6 8,6,8,5,3,96,96 Standard hiT 7300+,F0105,Unprotected,,,,,,,,
0001 DWDMU 6 8,6,8,5,3,96,96 Standard hiT 7300+,F0107,Unprotected,,,,,,,,
0001 DWDMU 6 8,6,8,5,3,96,96 Standard hiT 7300+,F0109,Unprotected,,,,,,,,
0001 DWDMU 6 8,6,8,5,3,96,96 Standard hiT 7300+,F0111,Unprotected,,,,,,,,
0002 DWDMU 6 8,8,6,3,5,96,96 Standard hiT 7300+,F0112,Unprotected,,,,,,,,
0002 DWDMU 6 8,8,6,3,5,96,96 Standard hiT 7300+,F0110,Unprotected,,,,,,,,
0002 DWDMU 6 8,8,6,3,5,96,96 Standard hiT 7300+,F0108,Unprotected,,,,,,,,
0002 DWDMU 6 8,8,6,3,5,96,96 Standard hiT 7300+,F0106,Unprotected,,,,,,,,
0002 DWDMU 1 5,5,1,1,1,96,96 Standard hiT 7300+,F0001,Unprotected,,,,,,,,
0002 DWDMU 1 5,5,1,1,1,96,96 Standard hiT 7300+,F0003,Unprotected,,,,,,,,
0002 DWDMU 1 5,5,1,1,1,96,96 Standard hiT 7300+,F0005,Unprotected,,,,,,,,
0002 DWDMU 1 5,5,1,1,1,96,96 Standard hiT 7300+,F0007,Unprotected,,,,,,,,
0002 DWDMU 1 5,5,1,1,1,96,96 Standard hiT 7300+,F0009,Unprotected,,,,,,,,
0001 DWDMU 1 5,1,5,1,1,96,96 Standard hiT 7300+,F0010,Unprotected,,,,,,,,
0001 DWDMU 1 5,1,5,1,1,96,96 Standard hiT 7300+,F0008,Unprotected,,,,,,,,
0001 DWDMU 1 5,1,5,1,1,96,96 Standard hiT 7300+,F0006,Unprotected,,,,,,,,
0001 DWDMU 1 5,1,5,1,1,96,96 Standard hiT 7300+,F0004,Unprotected,,,,,,,,
0001 DWDMU 1 5,1,5,1,1,96,96 Standard hiT 7300+,F0002,Unprotected,,,,,,,,
0001 DWDMU 4 7,4,7,2,3,96,96 Standard hiT 7300+,F0065,Unprotected,,,,,,,,
0001 DWDMU 4 7,4,7,2,3,96,96 Standard hiT 7300+,F0067,Unprotected,,,,,,,,
0001 DWDMU 4 7,4,7,2,3,96,96 Standard hiT 7300+,F0069,Unprotected,,,,,,,,
0002 DWDMU 4 7,7,4,3,2,96,96 Standard hiT 7300+,F0070,Unprotected,,,,,,,,
0002 DWDMU 4 7,7,4,3,2,96,96 Standard hiT 7300+,F0068,Unprotected,,,,,,,,
0002 DWDMU 4 7,7,4,3,2,96,96 Standard hiT 7300+,F0066,Unprotected,,,,,,,,
0001 DWDMU 4 8,4,8,3,2,96,96 Standard hiT 7300+,F0071,Unprotected,,,,,,,,
0001 DWDMU 4 8,4,8,3,2,96,96 Standard hiT 7300+,F0073,Unprotected,,,,,,,,
0001 DWDMU 4 8,4,8,3,2,96,96 Standard hiT 7300+,F0075,Unprotected,,,,,,,,
0001 DWDMU 4 8,4,8,3,2,96,96 Standard hiT 7300+,F0077,Unprotected,,,,,,,,
0001 DWDMU 4 8,4,8,3,2,96,96 Standard hiT 7300+,F0079,Unprotected,,,,,,,,
0001 DWDMU 4 8,4,8,3,2,96,96 Standard hiT 7300+,F0081,Unprotected,,,,,,,,
0002 DWDMU 4 8,8,4,2,3,96,96 Standard hiT 7300+,F0082,Unprotected,,,,,,,,
0002 DWDMU 4 8,8,4,2,3,96,96 Standard hiT 7300+,F0080,Unprotected,,,,,,,,
0002 DWDMU 4 8,8,4,2,3,96,96 Standard hiT 7300+,F0078,Unprotected,,,,,,,,
0002 DWDMU 4 8,8,4,2,3,96,96 Standard hiT 7300+,F0076,Unprotected,,,,,,,,
0002 DWDMU 4 8,8,4,2,3,96,96 Standard hiT 7300+,F0074,Unprotected,,,,,,,,
0002 DWDMU 4 8,8,4,2,3,96,96 Standard hiT 7300+,F0072,Unprotected,,,,,,,,
0001 DWDMU 10 4,10,4,1,4,96,96 Standard hiT 7300+,F0089,Unprotected,,,,,,,,
0001 DWDMU 10 4,10,4,1,4,96,96 Standard hiT 7300+,F0088,Unprotected,,,,,,,,
