#name,startNode,endNode,backname,mode,fiberType,length,measuredLossC,fixFiberMargin,measuredDispersionLambdaRefC,measuredDispersionSlopeC,measuredPmd,lossesToNode,lossesFromNode,deltaRamanGain,estimatedLossC,estimatedDispersionLambdaRefC,estimatedDispersionSlopeC,estimatedPmd,sharedRiskLinkGroup,startNodeType,endNodeType,startSiteLatitudeDeg,startSiteLatitudeMin,startSiteLatitudeSec,startSiteLongitudeDeg,startSiteLongitudeMin,startSiteLongitudeSec,endSiteLatitudeDeg,endSiteLatitudeMin,endSiteLatitudeSec,endSiteLongitudeDeg,endSiteLongitudeMin,endSiteLongitudeSec,startNode.version,endNode.version,startNode.systemType,endNode.systemType,dhcpPoolDomainName,subNetNameSource,subNetDescriptionSource,subNetAreaScaleSource,subNetAreaHeightSource,subNetAreaWidthSource,subNetLatitudeSource,subNetLongitudeSource,subNetIconLatitudeSource,subNetIconLongitudeSource,subNetNameTarget,subNetDescriptionTarget,subNetAreaScaleTarget,subNetAreaHeightTarget,subNetAreaWidthTarget,subNetLatitudeTarget,subNetLongitudeTarget,subNetIconLatitudeTarget,subNetIconLongitudeTarget
#Version 5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F0001,F1-1,S0001-100,F0002,Measured,SSMF_Telefonica,57.0,12.54,0,940.5,0.057,0.566237582,1,1,0,11.54,940.5,0.057,0.566237582,,ONN-X96,OLR,42,56,23,-8,-17,-21,43,8,32,-7,-20,-19,5.1,5.1,hiT 7300+,hiT 7300+,,,,-1,-1,-1,,,,,,,-1,-1,-1,,,,
F0002,S0001-100,F1-1,F0001,Measured,SSMF_Telefonica,57.0,12.54,0,940.5,0.057,0.566237582,1,1,0,11.54,940.5,0.057,0.566237582,,OLR,ONN-X96,43,8,32,-7,-20,-19,42,56,23,-8,-17,-21,5.1,5.1,hiT 7300+,hiT 7300+,,,,-1,-1,-1,,,,,,,-1,-1,-1,,,,
F0005,F1-1,S0003-100,F0006,Measured,SSMF_Telefonica,33.81,7.4382,0,557.865,0.057,0.436097752,1,1,0,7.4382,557.865,0.057,0.436097752,,ONN-X96,OLR,42,56,23,-8,-17,-21,42,46,38,-7,-33,-9,5.1,5.1,hiT 7300+,hiT 7300+,,,,-1,-1,-1,,,,,,,-1,-1,-1,,,,
F0006,S0003-100,F1-1,F0005,Measured,SSMF_Telefonica,33.81,7.4382,0,557.865,0.057,0.436097752,1,1,0,7.4382,557.865,0.057,0.436097752,,OLR,ONN-X96,42,46,38,-7,-33,-9,42,56,23,-8,-17,-21,5.1,5.1,hiT 7300+,hiT 7300+,,,,-1,-1,-1,,,,,,,-1,-1,-1,,,,
F0013,F1-1,S0014-100,F0014,Measured,SSMF_Telefonica,61.56,13.5432,0,1015.74,0.057,0.588451357,1,1,0,13.5432,1015.74,0.057,0.588451357,,ONN-X96,OLR,42,56,23,-8,-17,-21,42,30,33,-7,-45,-2,5.1,5.1,hiT 7300+,hiT 7300+,,,,-1,-1,-1,,,,,,,-1,-1,-1,,,,
F0014,S0014-100,F1-1,F0013,Measured,SSMF_Telefonica,61.56,13.5432,0,1015.74,0.057,0.588451357,1,1,0,13.5432,1015.74,0.057,0.588451357,,OLR,ONN-X96,42,30,33,-7,-45,-2,42,56,23,-8,-17,-21,5.1,5.1,hiT 7300+,hiT 7300+,,,,-1,-1,-1,,,,,,,-1,-1,-1,,,,
F0015,S0014-100,TR11,F0016,Measured,SSMF_Telefonica,80.44,17.6968,0,1327.26,0.057,0.672662619,1,1,0,17.6968,1327.26,0.057,0.672662619,,OLR,ONN-X96,42,30,33,-7,-45,-2,42,10,53,-6,-49,-54,5.1,5.1,hiT 7300+,hiT 7300+,,,,-1,-1,-1,,,,,,,-1,-1,-1,,,,
F0016,TR11,S0014-100,F0015,Measured,SSMF_Telefonica,80.44,17.6968,0,1327.26,0.057,0.672662619,1,1,0,17.6968,1327.26,0.057,0.672662619,,ONN-X96,OLR,42,10,53,-6,-49,-54,42,30,33,-7,-45,-2,5.1,5.1,hiT 7300+,hiT 7300+,,,,-1,-1,-1,,,,,,,-1,-1,-1,,,,
F0033,TR11,S0007-100,F0034,Measured,SSMF_Telefonica,66.7,14.674,0,1100.55,0.057,0.612525509,1,1,0,14.674,1100.55,0.057,0.612525509,,ONN-X96,OLR,42,10,53,-6,-49,-54,41,53,14,-6,-12,-50,5.1,5.1,hiT 7300+,hiT 7300+,,,,-1,-1,-1,,,,,,,-1,-1,-1,,,,
F0034,S0007-100,TR11,F0033,Measured,SSMF_Telefonica,66.7,14.674,0,1100.55,0.057,0.612525509,1,1,0,14.674,1100.55,0.057,0.612525509,,OLR,ONN-X96,41,53,14,-6,-12,-50,42,10,53,-6,-49,-54,5.1,5.1,hiT 7300+,hiT 7300+,,,,-1,-1,-1,,,,,,,-1,-1,-1,,,,
