#name,site,nodeType,description,systemType,code,version,subNetNameSource,subNetDescriptionSource,subNetAreaScaleSource,subNetAreaHeightSource,subNetAreaWidthSource,subNetLatitudeSource,subNetLongitudeSource,subNetIconLatitudeSource,subNetIconLongitudeSource
#Version 5.1
F1-1,F1,ONN-X96,,hiT 7300+,F1-1,5.10,,,-1,-1,-1,,,,
TR11,TR11,ONN-X96,,hiT 7300+,TR11,5.10,,,-1,-1,-1,,,,
F2-1,F2,ONN-X96,,hiT 7300+,F2-1,5.10,,,-1,-1,-1,,,,
F3-1,F3,ONN-X96,,hiT 7300+,F3-1,5.10,,,-1,-1,-1,,,,
TR13,TR13,ONN-X96,,hiT 7300+,TR13,5.10,,,-1,-1,-1,,,,
F13-1,F13,ONN-X96,,hiT 7300+,F13-1,5.10,,,-1,-1,-1,,,,
TR14,TR14,ONN-X96,,hiT 7300+,TR14,5.10,,,-1,-1,-1,,,,
TR4,TR4,ONN-X96,,hiT 7300+,TR4,5.10,,,-1,-1,-1,,,,
TR3,TR3,ONN-X96,,hiT 7300+,TR3,5.10,,,-1,-1,-1,,,,
TR6,TR6,ONN-X96,,hiT 7300+,TR6,5.10,,,-1,-1,-1,,,,
F16-1,F16,ONN-X96,,hiT 7300+,F16-1,5.10,,,-1,-1,-1,,,,
TR12,TR12,ONN-X96,,hiT 7300+,TR12,5.10,,,-1,-1,-1,,,,
F6-1,F6,ONN-X96,,hiT 7300+,F6-1,5.10,,,-1,-1,-1,,,,
F10-1,F10,ONN-X96,,hiT 7300+,F10-1,5.10,,,-1,-1,-1,,,,
TR1,TR1,ONN-X96,,hiT 7300+,TR1,5.10,,,-1,-1,-1,,,,
TR2,TR2,ONN-X96,,hiT 7300+,TR2,5.10,,,-1,-1,-1,,,,
F18-1,F18,ONN-X96,,hiT 7300+,F18-1,5.10,,,-1,-1,-1,,,,
TR5,TR5,ONN-X96,,hiT 7300+,TR5,5.10,,,-1,-1,-1,,,,
F7-1,F7,ONN-X96,,hiT 7300+,F7-1,5.10,,,-1,-1,-1,,,,
F20-1,F20,ONN-X96,,hiT 7300+,F20-1,5.10,,,-1,-1,-1,,,,
F21-1,F21,ONN-X96,,hiT 7300+,F21-1,5.10,,,-1,-1,-1,,,,
F22-1,F22,ONN-X96,,hiT 7300+,F22-1,5.10,,,-1,-1,-1,,,,
TR8,TR8,ONN-X96,,hiT 7300+,TR8,5.10,,,-1,-1,-1,,,,
F30-1,F30,ONN-X96,,hiT 7300+,F30-1,5.10,,,-1,-1,-1,,,,
TR9,TR9,ONN-X96,,hiT 7300+,TR9,5.10,,,-1,-1,-1,,,,
F27-1,F27,ONN-X96,,hiT 7300+,F27-1,5.10,,,-1,-1,-1,,,,
F25-1,F25,ONN-X96,,hiT 7300+,F25-1,5.10,,,-1,-1,-1,,,,
TR10,TR10,ONN-X96,,hiT 7300+,TR10,5.10,,,-1,-1,-1,,,,
TR7,TR7,ONN-X96,,hiT 7300+,TR7,5.10,,,-1,-1,-1,,,,
F26-1,F26,ONN-X96,,hiT 7300+,F26-1,5.10,,,-1,-1,-1,,,,
S0001-100,S0001,OLR,,hiT 7300+,S0001-100,5.10,,,-1,-1,-1,,,,
S0002-100,S0002,OLR,,hiT 7300+,S0002-100,5.10,,,-1,-1,-1,,,,
S0003-100,S0003,OLR,,hiT 7300+,S0003-100,5.10,,,-1,-1,-1,,,,
S0004-100,S0004,OLR,,hiT 7300+,S0004-100,5.10,,,-1,-1,-1,,,,
S0005-100,S0005,OLR,,hiT 7300+,S0005-100,5.10,,,-1,-1,-1,,,,
S0006-100,S0006,OLR,,hiT 7300+,S0006-100,5.10,,,-1,-1,-1,,,,
S0007-100,S0007,OLR,,hiT 7300+,S0007-100,5.10,,,-1,-1,-1,,,,
S0008-100,S0008,OLR,,hiT 7300+,S0008-100,5.10,,,-1,-1,-1,,,,
S0009-100,S0009,OLR,,hiT 7300+,S0009-100,5.10,,,-1,-1,-1,,,,
S0010-100,S0010,OLR,,hiT 7300+,S0010-100,5.10,,,-1,-1,-1,,,,
S0011-100,S0011,OLR,,hiT 7300+,S0011-100,5.10,,,-1,-1,-1,,,,
S0012-100,S0012,OLR,,hiT 7300+,S0012-100,5.10,,,-1,-1,-1,,,,
S0013-100,S0013,OLR,,hiT 7300+,S0013-100,5.10,,,-1,-1,-1,,,,
S0014-100,S0014,OLR,,hiT 7300+,S0014-100,5.10,,,-1,-1,-1,,,,
S0015-100,S0015,OLR,,hiT 7300+,S0015-100,5.10,,,-1,-1,-1,,,,
S0016-100,S0016,OLR,,hiT 7300+,S0016-100,5.10,,,-1,-1,-1,,,,
S0017-100,S0017,OLR,,hiT 7300+,S0017-100,5.10,,,-1,-1,-1,,,,
S0018-100,S0018,OLR,,hiT 7300+,S0018-100,5.10,,,-1,-1,-1,,,,
S0019-100,S0019,OLR,,hiT 7300+,S0019-100,5.10,,,-1,-1,-1,,,,
S0020-100,S0020,OLR,,hiT 7300+,S0020-100,5.10,,,-1,-1,-1,,,,
S0021-100,S0021,OLR,,hiT 7300+,S0021-100,5.10,,,-1,-1,-1,,,,
S0022-100,S0022,OLR,,hiT 7300+,S0022-100,5.10,,,-1,-1,-1,,,,
S0023-100,S0023,OLR,,hiT 7300+,S0023-100,5.10,,,-1,-1,-1,,,,
S0024-100,S0024,OLR,,hiT 7300+,S0024-100,5.10,,,-1,-1,-1,,,,
S0025-100,S0025,OLR,,hiT 7300+,S0025-100,5.10,,,-1,-1,-1,,,,
S0026-100,S0026,OLR,,hiT 7300+,S0026-100,5.10,,,-1,-1,-1,,,,
S0027-100,S0027,OLR,,hiT 7300+,S0027-100,5.10,,,-1,-1,-1,,,,
S0028-100,S0028,OLR,,hiT 7300+,S0028-100,5.10,,,-1,-1,-1,,,,
S0029-100,S0029,OLR,,hiT 7300+,S0029-100,5.10,,,-1,-1,-1,,,,
S0030-100,S0030,OLR,,hiT 7300+,S0030-100,5.10,,,-1,-1,-1,,,,
S0031-100,S0031,OLR,,hiT 7300+,S0031-100,5.10,,,-1,-1,-1,,,,
S0032-100,S0032,OLR,,hiT 7300+,S0032-100,5.10,,,-1,-1,-1,,,,
S0033-100,S0033,OLR,,hiT 7300+,S0033-100,5.10,,,-1,-1,-1,,,,
S0034-100,S0034,OLR,,hiT 7300+,S0034-100,5.10,,,-1,-1,-1,,,,
S0035-100,S0035,OLR,,hiT 7300+,S0035-100,5.10,,,-1,-1,-1,,,,
S0036-100,S0036,OLR,,hiT 7300+,S0036-100,5.10,,,-1,-1,-1,,,,
S0037-100,S0037,OLR,,hiT 7300+,S0037-100,5.10,,,-1,-1,-1,,,,
S0038-100,S0038,OLR,,hiT 7300+,S0038-100,5.10,,,-1,-1,-1,,,,
S0039-100,S0039,OLR,,hiT 7300+,S0039-100,5.10,,,-1,-1,-1,,,,
S0040-100,S0040,OLR,,hiT 7300+,S0040-100,5.10,,,-1,-1,-1,,,,
S0041-100,S0041,OLR,,hiT 7300+,S0041-100,5.10,,,-1,-1,-1,,,,
S0042-100,S0042,OLR,,hiT 7300+,S0042-100,5.10,,,-1,-1,-1,,,,
S0043-100,S0043,OLR,,hiT 7300+,S0043-100,5.10,,,-1,-1,-1,,,,
S0044-100,S0044,OLR,,hiT 7300+,S0044-100,5.10,,,-1,-1,-1,,,,
S0045-100,S0045,OLR,,hiT 7300+,S0045-100,5.10,,,-1,-1,-1,,,,
S0046-100,S0046,OLR,,hiT 7300+,S0046-100,5.10,,,-1,-1,-1,,,,
S0047-100,S0047,OLR,,hiT 7300+,S0047-100,5.10,,,-1,-1,-1,,,,
S0048-100,S0048,OLR,,hiT 7300+,S0048-100,5.10,,,-1,-1,-1,,,,
S0049-100,S0049,OLR,,hiT 7300+,S0049-100,5.10,,,-1,-1,-1,,,,
S0050-100,S0050,OLR,,hiT 7300+,S0050-100,5.10,,,-1,-1,-1,,,,
S0051-100,S0051,OLR,,hiT 7300+,S0051-100,5.10,,,-1,-1,-1,,,,
S0052-100,S0052,OLR,,hiT 7300+,S0052-100,5.10,,,-1,-1,-1,,,,
S0053-100,S0053,OLR,,hiT 7300+,S0053-100,5.10,,,-1,-1,-1,,,,
S0054-100,S0054,OLR,,hiT 7300+,S0054-100,5.10,,,-1,-1,-1,,,,
S0055-100,S0055,OLR,,hiT 7300+,S0055-100,5.10,,,-1,-1,-1,,,,
S0056-100,S0056,OLR,,hiT 7300+,S0056-100,5.10,,,-1,-1,-1,,,,
S0057-100,S0057,OLR,,hiT 7300+,S0057-100,5.10,,,-1,-1,-1,,,,
S0058-100,S0058,OLR,,hiT 7300+,S0058-100,5.10,,,-1,-1,-1,,,,
S0059-100,S0059,OLR,,hiT 7300+,S0059-100,5.10,,,-1,-1,-1,,,,
S0060-100,S0060,OLR,,hiT 7300+,S0060-100,5.10,,,-1,-1,-1,,,,
S0061-100,S0061,OLR,,hiT 7300+,S0061-100,5.10,,,-1,-1,-1,,,,
S0062-100,S0062,OLR,,hiT 7300+,S0062-100,5.10,,,-1,-1,-1,,,,
S0063-100,S0063,OLR,,hiT 7300+,S0063-100,5.10,,,-1,-1,-1,,,,
S0064-100,S0064,OLR,,hiT 7300+,S0064-100,5.10,,,-1,-1,-1,,,,
S0065-100,S0065,OLR,,hiT 7300+,S0065-100,5.10,,,-1,-1,-1,,,,
S0066-100,S0066,OLR,,hiT 7300+,S0066-100,5.10,,,-1,-1,-1,,,,
