#name,startNode,endNode,startDirection,endDirection,EOLchannelcount,channelplan,fibername,protection,working,protector,parameter1,parameter2,parameter3,parameter4,parameter5,dhcpPoolDomainName
#Version 5.1,,,,,,,,,,,,,,,,
0001 DWDMU F1 F2,F1-1,F2-1,1,1,96,96 Standard hiT 7300+,F0001,Unprotected,,,,,,,,
0001 DWDMU F1 F2,F1-1,F2-1,1,1,96,96 Standard hiT 7300+,F0003,Unprotected,,,,,,,,
0002 DWDMU F1 F2,F2-1,F1-1,1,1,96,96 Standard hiT 7300+,F0004,Unprotected,,,,,,,,
0002 DWDMU F1 F2,F2-1,F1-1,1,1,96,96 Standard hiT 7300+,F0002,Unprotected,,,,,,,,
0001 DWDMU F1 F3,F1-1,F3-1,2,1,96,96 Standard hiT 7300+,F0005,Unprotected,,,,,,,,
0001 DWDMU F1 F3,F1-1,F3-1,2,1,96,96 Standard hiT 7300+,F0007,Unprotected,,,,,,,,
0001 DWDMU F1 F3,F1-1,F3-1,2,1,96,96 Standard hiT 7300+,F0010,Unprotected,,,,,,,,
0001 DWDMU F1 F3,F1-1,F3-1,2,1,96,96 Standard hiT 7300+,F0011,Unprotected,,,,,,,,
0002 DWDMU F1 F3,F3-1,F1-1,1,2,96,96 Standard hiT 7300+,F0012,Unprotected,,,,,,,,
0002 DWDMU F1 F3,F3-1,F1-1,1,2,96,96 Standard hiT 7300+,F0009,Unprotected,,,,,,,,
0002 DWDMU F1 F3,F3-1,F1-1,1,2,96,96 Standard hiT 7300+,F0008,Unprotected,,,,,,,,
0002 DWDMU F1 F3,F3-1,F1-1,1,2,96,96 Standard hiT 7300+,F0006,Unprotected,,,,,,,,
0001 DWDMU F1 TR11,F1-1,TR11,3,1,96,96 Standard hiT 7300+,F0013,Unprotected,,,,,,,,
0001 DWDMU F1 TR11,F1-1,TR11,3,1,96,96 Standard hiT 7300+,F0015,Unprotected,,,,,,,,
0002 DWDMU F1 TR11,TR11,F1-1,1,3,96,96 Standard hiT 7300+,F0016,Unprotected,,,,,,,,
0002 DWDMU F1 TR11,TR11,F1-1,1,3,96,96 Standard hiT 7300+,F0014,Unprotected,,,,,,,,
0003 DWDMU TR11 TR12,TR11,TR12,2,1,96,96 Standard hiT 7300+,F0033,Unprotected,,,,,,,,
0003 DWDMU TR11 TR12,TR11,TR12,2,1,96,96 Standard hiT 7300+,F0035,Unprotected,,,,,,,,
0004 DWDMU TR11 TR12,TR12,TR11,1,2,96,96 Standard hiT 7300+,F0036,Unprotected,,,,,,,,
0004 DWDMU TR11 TR12,TR12,TR11,1,2,96,96 Standard hiT 7300+,F0034,Unprotected,,,,,,,,
0002 DWDMU F6 TR11,TR11,F6-1,3,2,96,96 Standard hiT 7300+,F0037,Unprotected,,,,,,,,
0002 DWDMU F6 TR11,TR11,F6-1,3,2,96,96 Standard hiT 7300+,F0039,Unprotected,,,,,,,,
0002 DWDMU F6 TR11,TR11,F6-1,3,2,96,96 Standard hiT 7300+,F0041,Unprotected,,,,,,,,
0001 DWDMU F6 TR11,F6-1,TR11,2,3,96,96 Standard hiT 7300+,F0042,Unprotected,,,,,,,,
0001 DWDMU F6 TR11,F6-1,TR11,2,3,96,96 Standard hiT 7300+,F0040,Unprotected,,,,,,,,
0001 DWDMU F6 TR11,F6-1,TR11,2,3,96,96 Standard hiT 7300+,F0038,Unprotected,,,,,,,,
0001 DWDMU F2 F3,F2-1,F3-1,2,2,96,96 Standard hiT 7300+,F0017,Unprotected,,,,,,,,
0001 DWDMU F2 F3,F2-1,F3-1,2,2,96,96 Standard hiT 7300+,F0019,Unprotected,,,,,,,,
0002 DWDMU F2 F3,F3-1,F2-1,2,2,96,96 Standard hiT 7300+,F0020,Unprotected,,,,,,,,
0002 DWDMU F2 F3,F3-1,F2-1,2,2,96,96 Standard hiT 7300+,F0018,Unprotected,,,,,,,,
