#name,code,latitudeDeg,latitudeMin,latitudeSec,longitudeDeg,longitudeMin,longitudeSec,description
#Version 5.1
F1,F1,42,56,23,-8,-17,-21,
TR11,TR11,42,10,53,-6,-49,-54,
F2,F2,43,9,56,-6,-31,-22,
F3,F3,42,24,56,-4,-29,-14,
TR13,TR13,43,15,7,-2,-59,-54,
F13,F13,42,20,44,1,4,26,
TR14,TR14,42,20,2,-2,-4,-46,
TR4,TR4,41,31,57,2,11,55,
TR3,TR3,41,31,57,1,11,5,
TR6,TR6,40,40,23,0,9,18,
F16,F16,41,39,3,0,-53,-29,
TR12,TR12,41,18,24,-5,-36,-43,
F6,F6,41,21,16,-4,-8,-20,
F10,F10,41,22,41,-2,-13,-19,
TR1,TR1,40,25,56,-3,-39,-49,
TR2,TR2,40,50,6,-2,-57,-59,
F18,F18,40,46,30,-1,-12,-58,
TR5,TR5,40,7,5,0,-55,-51,
F7,F7,40,8,54,-3,-16,-31,
F20,F20,39,55,4,-2,-12,-22,
F21,F21,38,58,34,0,-59,-11,
F22,F22,38,31,53,-1,-54,-19,
TR8,TR8,37,7,3,-2,-52,-46,
F30,F30,36,56,25,-4,-59,-10,
TR9,TR9,37,24,4,-6,-16,-10,
F27,F27,38,59,18,-6,-20,-26,
F25,F25,39,42,18,-5,-5,-50,
TR10,TR10,38,8,23,-4,-46,-49,
TR7,TR7,37,59,2,-3,-27,-27,
F26,F26,39,10,0,-3,-1,-48,
S0001,S0001,43,8,32,-7,-20,-19,
S0002,S0002,42,49,4,-5,-28,-10,
S0003,S0003,42,46,38,-7,-33,-9,
S0004,S0004,42,29,30,-5,-13,-54,
S0005,S0005,42,40,42,-6,-20,-55,
S0006,S0006,41,52,53,-4,-14,-59,
S0007,S0007,41,53,14,-6,-12,-50,
S0008,S0008,41,59,57,-5,-41,-57,
S0009,S0009,41,38,21,-5,-1,-33,
S0010,S0010,40,47,35,-4,-44,-27,
S0011,S0011,40,31,43,-5,-28,-10,
S0012,S0012,40,39,40,-5,-54,-47,
S0013,S0013,39,48,8,-6,-13,-19,
S0014,S0014,42,30,33,-7,-45,-2,
S0015,S0015,43,10,58,-5,-39,-34,
S0016,S0016,43,10,16,-4,-47,-18,
S0017,S0017,43,10,58,-3,-57,-52,
S0018,S0018,41,6,15,-3,-37,-26,
S0019,S0019,41,24,49,-3,-22,-42,
S0020,S0020,42,24,56,-3,-24,-8,
S0021,S0021,40,27,1,-2,-39,-27,
S0022,S0022,40,3,5,-2,-48,-58,
S0023,S0023,39,53,59,-4,-17,-50,
S0024,S0024,40,45,25,-3,-33,-38,
S0025,S0025,41,6,58,-2,-33,-17,
S0026,S0026,40,43,37,-2,-11,-54,
S0027,S0027,41,56,25,-2,-7,-37,
S0028,S0028,41,30,10,-1,-34,-21,
S0029,S0029,42,44,53,-2,-28,-60,
S0030,S0030,42,21,26,0,-34,-28,
S0031,S0031,41,58,32,-1,-27,-13,
S0032,S0032,42,5,15,1,30,5,
S0033,S0033,41,51,7,1,45,46,
S0034,S0034,41,56,4,0,51,36,
S0035,S0035,42,0,18,0,-2,-38,
S0036,S0036,41,15,33,1,28,40,
S0037,S0037,41,3,23,0,44,57,
S0038,S0038,41,9,28,0,34,58,
S0039,S0039,41,7,19,0,-24,-58,
S0040,S0040,40,42,54,0,-39,-13,
S0041,S0041,40,23,3,0,-21,-38,
S0042,S0042,40,43,59,-1,-43,-51,
S0043,S0043,40,21,14,-1,-46,-14,
S0044,S0044,39,59,48,-1,-38,-9,
S0045,S0045,39,23,14,-1,-38,-9,
S0046,S0046,39,34,59,-2,-38,-2,
S0047,S0047,38,42,16,-1,-25,-19,
S0048,S0048,39,33,31,0,-56,-20,
S0049,S0049,38,13,37,-2,-38,-59,
S0050,S0050,37,42,9,-2,-22,-49,
S0051,S0051,37,30,29,-3,-10,-21,
S0052,S0052,38,38,34,-3,-16,-60,
S0053,S0053,38,5,46,-4,-7,-22,
S0054,S0054,36,59,5,-4,-1,-40,
S0055,S0055,37,1,44,-3,-33,-38,
S0056,S0056,39,25,5,-4,-12,-8,
S0057,S0057,39,10,0,-5,-54,-18,
S0058,S0058,39,21,24,-5,-35,-18,
S0059,S0059,39,11,50,-4,-59,-39,
S0060,S0060,38,48,34,-4,-59,-10,
S0061,S0061,38,38,56,-5,-48,-7,
S0062,S0062,38,21,27,-5,-23,-53,
S0063,S0063,38,15,52,-6,-18,-4,
S0064,S0064,37,41,46,-5,-20,-34,
S0065,S0065,37,28,36,-4,-52,-31,
S0066,S0066,37,6,40,-5,-47,-10,
