#name,startNode,endNode,backname,mode,fiberType,length,measuredLossC,fixFiberMargin,fiberMarginPerKm,spanFixMargin,totalFiberLoss,measuredDispersionLambdaRefC,measuredDispersionSlopeC,measuredPmd,lossesToNode,lossesFromNode,deltaBackwardPumpingRamanGain,deltaForwardPumpingRamanGain,estimatedLossC,estimatedDispersionLambdaRefC,estimatedDispersionSlopeC,estimatedPmd,sharedRiskLinkGroup,startNodeType,endNodeType,startSiteLatitudeDeg,startSiteLatitudeMin,startSiteLatitudeSec,startSiteLongitudeDeg,startSiteLongitudeMin,startSiteLongitudeSec,endSiteLatitudeDeg,endSiteLatitudeMin,endSiteLatitudeSec,endSiteLongitudeDeg,endSiteLongitudeMin,endSiteLongitudeSec,startNode.version,endNode.version,startNode.systemType,endNode.systemType,dhcpPoolDomainName,protecting,subNetNameSource,subNetDescriptionSource,subNetAreaScaleSource,subNetAreaHeightSource,subNetAreaWidthSource,subNetLatitudeSource,subNetLongitudeSource,subNetIconLatitudeSource,subNetIconLongitudeSource,subNetNameTarget,subNetDescriptionTarget,subNetAreaScaleTarget,subNetAreaHeightTarget,subNetAreaWidthTarget,subNetLatitudeTarget,subNetLongitudeTarget,subNetIconLatitudeTarget,subNetIconLongitudeTarget
#Version 5.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F0285,S0068-100,34,F0286,Auto,SSMF,68.0,14.28,0.0,0.01,0.0,16.56,1142.4,0.058,0.412310562,0.25,0.25,0.0,0.0,14.28,1142.4,0.058,0.412310562,,OLR,ONN-X96,41.0,6.0,54.0,9.0,9.0,16.0,40.0,47.0,30.0,8.0,35.0,10.0,5.1,5.1,hiT 7300+,hiT 7300+,,False,,,-1.0,-1.0,-1.0,,,,,,,-1.0,-1.0,-1.0,,,,
F0286,34,S0068-100,F0285,Auto,SSMF,68.0,14.28,0.0,0.01,0.0,16.56,1142.4,0.058,0.412310562,0.25,0.25,0.0,0.0,14.28,1142.4,0.058,0.412310562,,ONN-X96,OLR,40.0,47.0,30.0,8.0,35.0,10.0,41.0,6.0,54.0,9.0,9.0,16.0,5.1,5.1,hiT 7300+,hiT 7300+,,False,,,-1.0,-1.0,-1.0,,,,,,,-1.0,-1.0,-1.0,,,,
F0003,34,S0073-100,F0004,Auto,SSMF,62.5,13.125,0.0,0.01,0.0,15.25,1050.0,0.058,0.395284707,0.25,0.25,0.0,0.0,13.125,1050.0,0.058,0.395284707,,ONN-X96,OLR,40.0,47.0,30.0,8.0,35.0,10.0,40.0,41.0,8.0,9.0,4.0,50.0,5.1,5.1,hiT 7300+,hiT 7300+,,False,,,-1.0,-1.0,-1.0,,,,,,,-1.0,-1.0,-1.0,,,,
F0004,S0073-100,34,F0003,Auto,SSMF,62.5,13.125,0.0,0.01,0.0,15.25,1050.0,0.058,0.395284707,0.25,0.25,0.0,0.0,13.125,1050.0,0.058,0.395284707,,OLR,ONN-X96,40.0,41.0,8.0,9.0,4.0,50.0,40.0,47.0,30.0,8.0,35.0,10.0,5.1,5.1,hiT 7300+,hiT 7300+,,False,,,-1.0,-1.0,-1.0,,,,,,,-1.0,-1.0,-1.0,,,,
F0001,34,S0084-100,F0002,Auto,SSMF,62.0,13.02,0.0,0.01,0.0,15.139999999,1041.6,0.058,0.393700393,0.25,0.25,0.0,0.0,13.02,1041.6,0.058,0.393700393,,ONN-X96,OLR,40.0,47.0,30.0,8.0,35.0,10.0,40.0,19.0,20.0,8.0,39.0,8.0,5.1,5.1,hiT 7300+,hiT 7300+,,False,,,-1.0,-1.0,-1.0,,,,,,,-1.0,-1.0,-1.0,,,,
F0002,S0084-100,34,F0001,Auto,SSMF,62.0,13.02,0.0,0.01,0.0,15.139999999,1041.6,0.058,0.393700393,0.25,0.25,0.0,0.0,13.02,1041.6,0.058,0.393700393,,OLR,ONN-X96,40.0,19.0,20.0,8.0,39.0,8.0,40.0,47.0,30.0,8.0,35.0,10.0,5.1,5.1,hiT 7300+,hiT 7300+,,False,,,-1.0,-1.0,-1.0,,,,,,,-1.0,-1.0,-1.0,,,,
F0287,S0073-100,15,F0288,Auto,SSMF,62.5,13.125,0.0,0.01,0.0,15.25,1050.0,0.058,0.395284707,0.25,0.25,0.0,0.0,13.125,1050.0,0.058,0.395284707,,OLR,ONN-X96,40.0,41.0,8.0,9.0,4.0,50.0,40.0,38.0,30.0,9.0,39.0,25.0,5.1,5.1,hiT 7300+,hiT 7300+,,False,,,-1.0,-1.0,-1.0,,,,,,,-1.0,-1.0,-1.0,,,,
F0288,15,S0073-100,F0287,Auto,SSMF,62.5,13.125,0.0,0.01,0.0,15.25,1050.0,0.058,0.395284707,0.25,0.25,0.0,0.0,13.125,1050.0,0.058,0.395284707,,ONN-X96,OLR,40.0,38.0,30.0,9.0,39.0,25.0,40.0,41.0,8.0,9.0,4.0,50.0,5.1,5.1,hiT 7300+,hiT 7300+,,False,,,-1.0,-1.0,-1.0,,,,,,,-1.0,-1.0,-1.0,,,,
F0007,15,S0074-100,F0008,Auto,SSMF,71.0,14.91,0.0,0.01,0.0,17.22,1192.8,0.058,0.421307488,0.25,0.25,0.0,0.0,14.91,1192.8,0.058,0.421307488,,ONN-X96,OLR,40.0,38.0,30.0,9.0,39.0,25.0,40.0,51.0,59.0,10.0,21.0,25.0,5.1,5.1,hiT 7300+,hiT 7300+,,False,,,-1.0,-1.0,-1.0,,,,,,,-1.0,-1.0,-1.0,,,,
F0008,S0074-100,15,F0007,Auto,SSMF,71.0,14.91,0.0,0.01,0.0,17.22,1192.8,0.058,0.421307488,0.25,0.25,0.0,0.0,14.91,1192.8,0.058,0.421307488,,OLR,ONN-X96,40.0,51.0,59.0,10.0,21.0,25.0,40.0,38.0,30.0,9.0,39.0,25.0,5.1,5.1,hiT 7300+,hiT 7300+,,False,,,-1.0,-1.0,-1.0,,,,,,,-1.0,-1.0,-1.0,,,,
F0303,S0081-100,15,F0304,Auto,SSMF,77.0,16.169999999,0.0,0.01,0.0,18.639999999,1293.6,0.058,0.438748219,0.25,0.25,0.0,0.0,16.169999999,1293.6,0.058,0.438748219,,OLR,ONN-X96,40.0,22.0,44.0,9.0,48.0,19.0,40.0,38.0,30.0,9.0,39.0,25.0,5.1,5.1,hiT 7300+,hiT 7300+,,False,,,-1.0,-1.0,-1.0,,,,,,,-1.0,-1.0,-1.0,,,,
F0304,15,S0081-100,F0303,Auto,SSMF,77.0,16.169999999,0.0,0.01,0.0,18.639999999,1293.6,0.058,0.438748219,0.25,0.25,0.0,0.0,16.169999999,1293.6,0.058,0.438748219,,ONN-X96,OLR,40.0,38.0,30.0,9.0,39.0,25.0,40.0,22.0,44.0,9.0,48.0,19.0,5.1,5.1,hiT 7300+,hiT 7300+,,False,,,-1.0,-1.0,-1.0,,,,,,,-1.0,-1.0,-1.0,,,,
F0005,9,S0077-100,F0006,Auto,SSMF,77.0,16.169999999,0.0,0.01,0.0,18.639999999,1293.6,0.058,0.438748219,0.25,0.25,0.0,0.0,16.169999999,1293.6,0.058,0.438748219,,ONN-X96,OLR,39.0,12.0,52.0,9.0,5.0,49.0,39.0,28.0,32.0,9.0,16.0,12.0,5.1,5.1,hiT 7300+,hiT 7300+,,False,,,-1.0,-1.0,-1.0,,,,,,,-1.0,-1.0,-1.0,,,,
F0006,S0077-100,9,F0005,Auto,SSMF,77.0,16.169999999,0.0,0.01,0.0,18.639999999,1293.6,0.058,0.438748219,0.25,0.25,0.0,0.0,16.169999999,1293.6,0.058,0.438748219,,OLR,ONN-X96,39.0,28.0,32.0,9.0,16.0,12.0,39.0,12.0,52.0,9.0,5.0,49.0,5.1,5.1,hiT 7300+,hiT 7300+,,False,,,-1.0,-1.0,-1.0,,,,,,,-1.0,-1.0,-1.0,,,,
F0307,S0082-100,9,F0308,Auto,SSMF,62.0,13.02,0.0,0.01,0.0,15.139999999,1041.6,0.058,0.393700393,0.25,0.25,0.0,0.0,13.02,1041.6,0.058,0.393700393,,OLR,ONN-X96,39.0,37.0,41.0,8.0,46.0,32.0,39.0,12.0,52.0,9.0,5.0,49.0,5.1,5.1,hiT 7300+,hiT 7300+,,False,,,-1.0,-1.0,-1.0,,,,,,,-1.0,-1.0,-1.0,,,,
F0308,9,S0082-100,F0307,Auto,SSMF,62.0,13.02,0.0,0.01,0.0,15.139999999,1041.6,0.058,0.393700393,0.25,0.25,0.0,0.0,13.02,1041.6,0.058,0.393700393,,ONN-X96,OLR,39.0,12.0,52.0,9.0,5.0,49.0,39.0,37.0,41.0,8.0,46.0,32.0,5.1,5.1,hiT 7300+,hiT 7300+,,False,,,-1.0,-1.0,-1.0,,,,,,,-1.0,-1.0,-1.0,,,,
F0009,30,33,F0010,Auto,SSMF,25.0,5.25,0.0,0.01,0.0,6.4,420.0,0.058,0.25,0.25,0.25,0.0,0.0,5.25,420.0,0.058,0.25,,ONN-X96,ONN-X96,41.0,36.0,35.0,12.0,33.0,22.0,41.0,56.0,51.0,12.0,31.0,24.0,5.1,5.1,hiT 7300+,hiT 7300+,,False,,,-1.0,-1.0,-1.0,,,,,,,-1.0,-1.0,-1.0,,,,
F0010,33,30,F0009,Auto,SSMF,25.0,5.25,0.0,0.01,0.0,6.4,420.0,0.058,0.25,0.25,0.25,0.0,0.0,5.25,420.0,0.058,0.25,,ONN-X96,ONN-X96,41.0,56.0,51.0,12.0,31.0,24.0,41.0,36.0,35.0,12.0,33.0,22.0,5.1,5.1,hiT 7300+,hiT 7300+,,False,,,-1.0,-1.0,-1.0,,,,,,,-1.0,-1.0,-1.0,,,,
F0055,32,33,F0056,Auto,SSMF,29.0,6.09,0.0,0.01,0.0,7.28,487.2,0.058,0.26925824,0.25,0.25,0.0,0.0,6.09,487.2,0.058,0.26925824,,ONN-X96,ONN-X96,42.0,23.0,13.0,12.0,32.0,23.0,41.0,56.0,51.0,12.0,31.0,24.0,5.1,5.1,hiT 7300+,hiT 7300+,,False,,,-1.0,-1.0,-1.0,,,,,,,-1.0,-1.0,-1.0,,,,
F0056,33,32,F0055,Auto,SSMF,29.0,6.09,0.0,0.01,0.0,7.28,487.2,0.058,0.26925824,0.25,0.25,0.0,0.0,6.09,487.2,0.058,0.26925824,,ONN-X96,ONN-X96,41.0,56.0,51.0,12.0,31.0,24.0,42.0,23.0,13.0,12.0,32.0,23.0,5.1,5.1,hiT 7300+,hiT 7300+,,False,,,-1.0,-1.0,-1.0,,,,,,,-1.0,-1.0,-1.0,,,,
