#name,site,nodeType,description,systemType,code,version,subNetNameSource,subNetDescriptionSource,subNetAreaScaleSource,subNetAreaHeightSource,subNetAreaWidthSource,subNetLatitudeSource,subNetLongitudeSource,subNetIconLatitudeSource,subNetIconLongitudeSource
#Version 5.1
34,34,ONN-X96,,hiT 7300+,34,5.10,,,-1,-1,-1,,,,
15,15,ONN-X96,,hiT 7300+,15,5.10,,,-1,-1,-1,,,,
9,9,ONN-X96,,hiT 7300+,9,5.10,,,-1,-1,-1,,,,
33,33,ONN-X96,,hiT 7300+,33,5.10,,,-1,-1,-1,,,,
30,30,ONN-X96,,hiT 7300+,30,5.10,,,-1,-1,-1,,,,
12,12,ONN-X96,,hiT 7300+,12,5.10,,,-1,-1,-1,,,,
29,29,ONN-X96,,hiT 7300+,29,5.10,,,-1,-1,-1,,,,
14,14,ONN-X96,,hiT 7300+,14,5.10,,,-1,-1,-1,,,,
28,28,ONN-X96,,hiT 7300+,28,5.10,,,-1,-1,-1,,,,
2,2,ONN-X96,,hiT 7300+,2,5.10,,,-1,-1,-1,,,,
31,31,ONN-X96,,hiT 7300+,31,5.10,,,-1,-1,-1,,,,
43,43,ONN-X96,,hiT 7300+,43,5.10,,,-1,-1,-1,,,,
10,10,ONN-X96,,hiT 7300+,10,5.10,,,-1,-1,-1,,,,
5,5,ONN-X96,,hiT 7300+,5,5.10,,,-1,-1,-1,,,,
21,21,ONN-X96,,hiT 7300+,21,5.10,,,-1,-1,-1,,,,
40,40,ONN-X96,,hiT 7300+,40,5.10,,,-1,-1,-1,,,,
42,42,ONN-X96,,hiT 7300+,42,5.10,,,-1,-1,-1,,,,
16,16,ONN-X96,,hiT 7300+,16,5.10,,,-1,-1,-1,,,,
35,35,ONN-X96,,hiT 7300+,35,5.10,,,-1,-1,-1,,,,
38,38,ONN-X96,,hiT 7300+,38,5.10,,,-1,-1,-1,,,,
1,1,ONN-X96,,hiT 7300+,1,5.10,,,-1,-1,-1,,,,
41,41,ONN-X96,,hiT 7300+,41,5.10,,,-1,-1,-1,,,,
19,19,ONN-X96,,hiT 7300+,19,5.10,,,-1,-1,-1,,,,
20,20,ONN-X96,,hiT 7300+,20,5.10,,,-1,-1,-1,,,,
8,8,ONN-X96,,hiT 7300+,8,5.10,,,-1,-1,-1,,,,
7,7,ONN-X96,,hiT 7300+,7,5.10,,,-1,-1,-1,,,,
44,44,ONN-X96,,hiT 7300+,44,5.10,,,-1,-1,-1,,,,
6,6,ONN-X96,,hiT 7300+,6,5.10,,,-1,-1,-1,,,,
39,39,ONN-X96,,hiT 7300+,39,5.10,,,-1,-1,-1,,,,
4,4,ONN-X96,,hiT 7300+,4,5.10,,,-1,-1,-1,,,,
27,27,ONN-X96,,hiT 7300+,27,5.10,,,-1,-1,-1,,,,
37,37,ONN-X96,,hiT 7300+,37,5.10,,,-1,-1,-1,,,,
22,22,ONN-X96,,hiT 7300+,22,5.10,,,-1,-1,-1,,,,
23,23,ONN-X96,,hiT 7300+,23,5.10,,,-1,-1,-1,,,,
36,36,ONN-X96,,hiT 7300+,36,5.10,,,-1,-1,-1,,,,
3,3,ONN-X96,,hiT 7300+,3,5.10,,,-1,-1,-1,,,,
13,13,ONN-X96,,hiT 7300+,13,5.10,,,-1,-1,-1,,,,
17,17,ONN-X96,,hiT 7300+,17,5.10,,,-1,-1,-1,,,,
