#name,startNode,endNode,startDirection,endDirection,EOLchannelcount,channelplan,fibername,protection,working,protector,parameter1,parameter2,parameter3,parameter4,parameter5,dhcpPoolDomainName
#Version 5.1,,,,,,,,,,,,,,,,
0003 DWDMU 12 34,12,34,2,3,96,96 Standard hiT 7300+,F0013,Unprotected,,,,,,,,
0003 DWDMU 12 34,12,34,2,3,96,96 Standard hiT 7300+,F0277,Unprotected,,,,,,,,
0003 DWDMU 12 34,12,34,2,3,96,96 Standard hiT 7300+,F0279,Unprotected,,,,,,,,
0003 DWDMU 12 34,12,34,2,3,96,96 Standard hiT 7300+,F0281,Unprotected,,,,,,,,
0003 DWDMU 12 34,12,34,2,3,96,96 Standard hiT 7300+,F0283,Unprotected,,,,,,,,
0003 DWDMU 12 34,12,34,2,3,96,96 Standard hiT 7300+,F0285,Unprotected,,,,,,,,
0004 DWDMU 12 34,34,12,3,2,96,96 Standard hiT 7300+,F0286,Unprotected,,,,,,,,
0004 DWDMU 12 34,34,12,3,2,96,96 Standard hiT 7300+,F0284,Unprotected,,,,,,,,
0004 DWDMU 12 34,34,12,3,2,96,96 Standard hiT 7300+,F0282,Unprotected,,,,,,,,
0004 DWDMU 12 34,34,12,3,2,96,96 Standard hiT 7300+,F0280,Unprotected,,,,,,,,
0004 DWDMU 12 34,34,12,3,2,96,96 Standard hiT 7300+,F0278,Unprotected,,,,,,,,
0004 DWDMU 12 34,34,12,3,2,96,96 Standard hiT 7300+,F0014,Unprotected,,,,,,,,
0002 DWDMU 15 34,34,15,2,1,96,96 Standard hiT 7300+,F0003,Unprotected,,,,,,,,
0002 DWDMU 15 34,34,15,2,1,96,96 Standard hiT 7300+,F0287,Unprotected,,,,,,,,
0001 DWDMU 15 34,15,34,1,2,96,96 Standard hiT 7300+,F0288,Unprotected,,,,,,,,
0001 DWDMU 15 34,15,34,1,2,96,96 Standard hiT 7300+,F0004,Unprotected,,,,,,,,
0002 DWDMU 34 9,9,34,1,1,96,96 Standard hiT 7300+,F0308,Unprotected,,,,,,,,
0002 DWDMU 34 9,9,34,1,1,96,96 Standard hiT 7300+,F0309,Unprotected,,,,,,,,
0002 DWDMU 34 9,9,34,1,1,96,96 Standard hiT 7300+,F0306,Unprotected,,,,,,,,
0002 DWDMU 34 9,9,34,1,1,96,96 Standard hiT 7300+,F0002,Unprotected,,,,,,,,
0001 DWDMU 34 9,34,9,1,1,96,96 Standard hiT 7300+,F0001,Unprotected,,,,,,,,
0001 DWDMU 34 9,34,9,1,1,96,96 Standard hiT 7300+,F0305,Unprotected,,,,,,,,
0001 DWDMU 34 9,34,9,1,1,96,96 Standard hiT 7300+,F0310,Unprotected,,,,,,,,
0001 DWDMU 34 9,34,9,1,1,96,96 Standard hiT 7300+,F0307,Unprotected,,,,,,,,
0003 DWDMU 15 30,15,30,3,1,96,96 Standard hiT 7300+,F0007,Unprotected,,,,,,,,
0003 DWDMU 15 30,15,30,3,1,96,96 Standard hiT 7300+,F0289,Unprotected,,,,,,,,
0003 DWDMU 15 30,15,30,3,1,96,96 Standard hiT 7300+,F0292,Unprotected,,,,,,,,
0003 DWDMU 15 30,15,30,3,1,96,96 Standard hiT 7300+,F0293,Unprotected,,,,,,,,
0004 DWDMU 15 30,30,15,1,3,96,96 Standard hiT 7300+,F0294,Unprotected,,,,,,,,
0004 DWDMU 15 30,30,15,1,3,96,96 Standard hiT 7300+,F0291,Unprotected,,,,,,,,
0004 DWDMU 15 30,30,15,1,3,96,96 Standard hiT 7300+,F0290,Unprotected,,,,,,,,
0004 DWDMU 15 30,30,15,1,3,96,96 Standard hiT 7300+,F0008,Unprotected,,,,,,,,
0002 DWDMU 15 9,9,15,2,2,96,96 Standard hiT 7300+,F0005,Unprotected,,,,,,,,
0002 DWDMU 15 9,9,15,2,2,96,96 Standard hiT 7300+,F0296,Unprotected,,,,,,,,
0002 DWDMU 15 9,9,15,2,2,96,96 Standard hiT 7300+,F0297,Unprotected,,,,,,,,
0002 DWDMU 15 9,9,15,2,2,96,96 Standard hiT 7300+,F0299,Unprotected,,,,,,,,
0002 DWDMU 15 9,9,15,2,2,96,96 Standard hiT 7300+,F0301,Unprotected,,,,,,,,
0002 DWDMU 15 9,9,15,2,2,96,96 Standard hiT 7300+,F0303,Unprotected,,,,,,,,
0001 DWDMU 15 9,15,9,2,2,96,96 Standard hiT 7300+,F0304,Unprotected,,,,,,,,
0001 DWDMU 15 9,15,9,2,2,96,96 Standard hiT 7300+,F0302,Unprotected,,,,,,,,
0001 DWDMU 15 9,15,9,2,2,96,96 Standard hiT 7300+,F0300,Unprotected,,,,,,,,
0001 DWDMU 15 9,15,9,2,2,96,96 Standard hiT 7300+,F0298,Unprotected,,,,,,,,
0001 DWDMU 15 9,15,9,2,2,96,96 Standard hiT 7300+,F0295,Unprotected,,,,,,,,
0001 DWDMU 15 9,15,9,2,2,96,96 Standard hiT 7300+,F0006,Unprotected,,,,,,,,
0001 DWDMU 30 33,30,33,2,1,96,96 Standard hiT 7300+,F0009,Unprotected,,,,,,,,
0002 DWDMU 30 33,33,30,1,2,96,96 Standard hiT 7300+,F0010,Unprotected,,,,,,,,
0003 DWDMU 32 33,32,33,2,3,96,96 Standard hiT 7300+,F0055,Unprotected,,,,,,,,
0004 DWDMU 32 33,33,32,3,2,96,96 Standard hiT 7300+,F0056,Unprotected,,,,,,,,
0001 DWDMU 27 33,27,33,1,4,96,96 Standard hiT 7300+,F0272,Unprotected,,,,,,,,
0001 DWDMU 27 33,27,33,1,4,96,96 Standard hiT 7300+,F0270,Unprotected,,,,,,,,
0001 DWDMU 27 33,27,33,1,4,96,96 Standard hiT 7300+,F0273,Unprotected,,,,,,,,
0001 DWDMU 27 33,27,33,1,4,96,96 Standard hiT 7300+,F0046,Unprotected,,,,,,,,
0002 DWDMU 27 33,33,27,4,1,96,96 Standard hiT 7300+,F0045,Unprotected,,,,,,,,
