#name,code,latitudeDeg,latitudeMin,latitudeSec,longitudeDeg,longitudeMin,longitudeSec,description
#Version 5.1
34,34,40,47,30,8,35,10,
15,15,40,38,30,9,39,25,
9,9,39,12,52,9,5,49,
33,33,41,56,51,12,31,24,
30,30,41,36,35,12,33,22,
12,12,42,19,12,11,41,59,
29,29,43,49,27,10,20,56,
14,14,43,48,1,11,16,17,
28,28,43,11,27,12,8,40,
2,2,43,38,1,13,32,40,
31,31,44,22,48,12,18,33,
43,43,45,26,30,12,21,31,
10,10,44,49,54,12,4,42,
5,5,44,39,43,11,23,12,
21,21,44,53,3,10,43,40,
40,40,45,51,22,13,25,45,
42,42,46,23,54,12,56,6,
16,16,44,31,16,8,58,54,
35,35,44,18,12,7,48,43,
38,38,45,7,1,7,16,6,
1,1,45,0,2,8,7,0,
41,41,45,2,8,8,58,54,
19,19,45,41,2,8,17,23,
20,20,46,0,18,9,14,13,
8,8,46,2,22,9,52,46,
7,7,45,54,28,10,27,21,
44,44,45,28,14,11,4,25,
6,6,46,3,3,12,5,42,
39,39,46,39,53,11,39,1,
4,4,46,40,34,10,57,30,
27,27,42,52,40,13,54,25,
37,37,42,0,9,14,53,43,
22,22,40,51,59,14,15,10,
23,23,41,6,54,14,40,52,
36,36,40,34,0,17,17,2,
3,3,41,14,21,16,34,32,
13,13,38,59,50,16,50,21,
17,17,39,2,8,16,6,51,
24,24,38,8,3,13,26,45,
18,18,37,21,57,13,34,39,
11,11,37,36,4,15,7,33,
32,32,42,23,13,12,32,23,
25,25,45,3,32,9,55,14,
26,26,45,26,9,11,49,23,
S0001,S0001,45,3,32,7,41,19,
S0002,S0002,44,46,2,8,27,16,
S0003,S0003,44,6,52,12,57,35,
S0004,S0004,43,21,32,12,44,44,
S0005,S0005,43,30,8,13,10,56,
S0006,S0006,43,23,19,13,50,57,
S0007,S0007,43,11,49,13,57,23,
S0008,S0008,41,50,36,15,19,55,
S0009,S0009,41,40,16,15,43,38,
S0010,S0010,41,26,58,16,5,52,
S0011,S0011,40,58,42,16,52,19,
S0012,S0012,41,8,1,15,9,32,
S0013,S0013,41,10,15,15,37,12,
S0014,S0014,41,11,0,16,7,51,
S0015,S0015,45,57,13,11,0,58,
S0016,S0016,46,16,44,10,57,0,
S0017,S0017,46,25,37,11,20,44,
S0018,S0018,46,7,10,11,26,39,
S0019,S0019,46,18,6,12,30,54,
S0020,S0020,45,46,53,12,17,33,
S0021,S0021,46,11,57,13,11,55,
S0022,S0022,45,37,34,12,45,44,
S0023,S0023,45,44,29,13,7,28,
S0024,S0024,45,5,38,12,39,48,
S0025,S0025,44,47,5,12,48,12,
S0026,S0026,44,35,30,12,35,51,
S0027,S0027,45,26,51,11,26,39,
S0028,S0028,45,5,59,11,40,0,
S0029,S0029,44,29,51,11,44,56,
S0030,S0030,44,22,27,11,57,18,
S0031,S0031,44,19,16,11,19,44,
